,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
186,186,qa инженер,Новосибирск,,,Новосибирскэнергосбыт,2019-10-21T04:56:17+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Анализ реализованных задач на соответствие требованиям для Web, Mobile и Desktop приложений. Проектирование и актуализация планов и сценариев тестирования (тест-планов, чек-листов, тест кейсов). Проведение функционального, компонентного, интеграционного и нагрузочного тестирования. Реализация тест-планов для нового и измененного функционала в виде ручных и авто-тестов. Интеграция тестовой инфраструктуры с Continuous Integration Развертывание и поддержание в работоспособном состоянии тестовых комплексов. Составление отчетов о результатах тестирования. Оформление ошибок в багтрекере. Контроль обновлений и исправлений. Требования: Высшее/неоконченное высшее образование в области ИТ Хорошее понимание теории и методологий тестирования. Опыт тестирование Web-приложений, пользовательских интерфейсов. Знание принципов разработки ПО. Умение писать понятную тестовую документацию. Базовые знания SQL Базовые знания HTTP, HTML, CSS Умение работать с большим объемом информации и разноплановыми задачами. Будет дополнительным плюсом: навыки программирования на любом языке. знание agile-методик выполнение проектов опыт работы с Jira, SVN, Git,MS SQL, Jenkins, Selenium, Jmeter, Postman Условия: Трудоустройство по ТК РФ З/п по договоренности Место работы: ул. Орджоникидзе Режим работы: пн.- пт., вых.: (суб.,вс.) Компенсация 50% от оплаты за э/э, т/э, г/в, но не более 12 т.р./г; единовременные выплаты при уходе в ежегодный отпуск; вознаграждение за выслугу лет; возмещение за питание ребенка в ДДУ, не более 800 р./м.; полный социальный пакет."," Высшее/неоконченное высшее образование в области ИТ Хорошее понимание теории и методологий тестирования. Опыт тестирование Web-приложений, пользовательских интерфейсов. Знание принципов разработки ПО. Умение писать понятную тестовую документацию. Базовые знания SQL Базовые знания HTTP, HTML, CSS Умение работать с большим объемом информации и разноплановыми задачами. Будет дополнительным плюсом: навыки программирования на любом языке. знание agile-методик выполнение проектов опыт работы с Jira, SVN, Git,MS SQL, Jenkins, Selenium, Jmeter, Postman "," Анализ реализованных задач на соответствие требованиям для Web, Mobile и Desktop приложений. Проектирование и актуализация планов и сценариев тестирования (тест-планов, чек-листов, тест кейсов). Проведение функционального, компонентного, интеграционного и нагрузочного тестирования. Реализация тест-планов для нового и измененного функционала в виде ручных и авто-тестов. Интеграция тестовой инфраструктуры с Continuous Integration Развертывание и поддержание в работоспособном состоянии тестовых комплексов. Составление отчетов о результатах тестирования. Оформление ошибок в багтрекере. Контроль обновлений и исправлений. "," Трудоустройство по ТК РФ З/п по договоренности Место работы: ул. Орджоникидзе Режим работы: пн.- пт., вых.: (суб.,вс.) Компенсация 50% от оплаты за э/э, т/э, г/в, но не более 12 т.р./г; единовременные выплаты при уходе в ежегодный отпуск; вознаграждение за выслугу лет; возмещение за питание ребенка в ДДУ, не более 800 р./м.; полный социальный пакет.",
1038,1038,qa инженер,Самара,,,Magenta Technology,2019-10-11T17:39:14+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Magenta Technology Мы — международная продуктовая компания с офисами в Самаре, Лондоне, Брайтоне и Тольятти. Мы разрабатываем сложные программные продукты от идеи и до масштабирования на рынке. Сейчас наши продукты «Echo» и «Maxoptra» работают у клиентов из Великобритании, Европы, США, России, Южной Америки и ОАЭ. В компании работает около 200 человек. Мы ищем QA инженера (remote) (Инженера по контролю качества ПО) в наш офис, расположенный в Самаре. С чем предстоит работать: участвовать во всех видах тестирования (функциональное, интеграционное, нагрузочное и т.д. ); взаимодействовать со смежными командами проекта (разработка, аналитика, поддержка); участвовать в процессе выдачи решения заказчику; описывать тест-сценарии. Мы ожидаем : опыт работы в сфере QA; понимание процессов тестирования и разработки; опыт ведения тестовой документации; понимание особенностей тестирования (desktop, web или mobile приложений); умение работать самостоятельно, брать ответственность за принятые решения; основы SQL. Мы предлагаем: оформление трудовых отношений по Трудовому кодексу РФ, полный социальный пакет (включая ДМС или оплату фитнеса, занятия английским языком в офисе компании); оплачиваемые отпуск и больничный; достойную, белую заработную плату и высокие квартальные премии; ежегодное performance review и пересмотр зарплаты по результатам работы; благоприятные условия работы и очень дружный коллектив; сертификация за счет компании; удобные рабочие места (современные рабочие станции, наличие двух мониторов, одним словом — всё необходимое оборудование для эффективной работы); работу в стабильной международной компании; комфортный большой офис, удобное расположение. У нас есть всё необходимое для отдыха: удобная кухня, переговорки, кофемашины, теннисный стол, дартс, гамак для йоги, велопарковка, душевые. Комплексная доставка обедов в офис по желанию.",,,,QA|Тестирование|Регресcионное тестирование|Тестирование пользовательского интерфейса|Функциональное тестирование|MS SQL|SQL|Проведение тестирований
1097,1097,qa инженер,Самара,,,Magenta Technology,2019-10-11T17:39:14+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Magenta Technology Мы — международная продуктовая компания с офисами в Самаре, Лондоне, Брайтоне и Тольятти. Мы разрабатываем сложные программные продукты от идеи и до масштабирования на рынке. Сейчас наши продукты «Echo» и «Maxoptra» работают у клиентов из Великобритании, Европы, США, России, Южной Америки и ОАЭ. В компании работает около 200 человек. Мы ищем QA инженера (Инженера по контролю качества ПО) в наш офис, расположенный в Самаре. С чем предстоит работать: участвовать во всех видах тестирования (функциональное, интеграционное, нагрузочное и т.д. ); взаимодействовать со смежными командами проекта (разработка, аналитика, поддержка); участвовать в процессе выдачи решения заказчику; описывать тест-сценарии. Мы ожидаем : опыт работы в сфере QA; понимание процессов тестирования и разработки; опыт ведения тестовой документации; понимание особенностей тестирования (desktop, web или mobile приложений); умение работать самостоятельно, брать ответственность за принятые решения; основы SQL. Мы предлагаем: оформление трудовых отношений по Трудовому кодексу РФ, полный социальный пакет (включая ДМС или оплату фитнеса, занятия английским языком в офисе компании); оплачиваемые отпуск и больничный; достойную, белую заработную плату и высокие квартальные премии; ежегодное performance review и пересмотр зарплаты по результатам работы; благоприятные условия работы и очень дружный коллектив; сертификация за счет компании; удобные рабочие места (современные рабочие станции, наличие двух мониторов, одним словом — всё необходимое оборудование для эффективной работы); работу в стабильной международной компании; комфортный большой офис, удобное расположение. У нас есть всё необходимое для отдыха: удобная кухня, переговорки, кофемашины, теннисный стол, дартс, гамак для йоги, велопарковка, душевые. Комплексная доставка обедов в офис по желанию.",,,,QA|Тестирование|Регресcионное тестирование|Тестирование пользовательского интерфейса|Функциональное тестирование|MS SQL|SQL|Проведение тестирований
