,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
394,394,"web developer (php, mysql, js)",Краснодар,50000.0,90000.0,Ganymeda,2019-09-23T20:42:06+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"WowVendor – компания занимающаяся оказанием внутриигровых услуг с 2014 года. Мы помогаем геймерам получать игровые достижения, награды и максимальное удовольствие от любимых онлайн игр! На наш сайт круглосуточно заходят тысячи игроков со всего мира, мы хотим, чтобы наш сервис был быстрым и работал как часы! В связи с развитием проекта, мы ищем в команду дополнительных разработчиков. Нам нужен Web Developer, который будет заниматься поддержанием работоспособности существующих сервисов и развитием новых. ЧЕМ ТЕБЕ ПРЕДСТОИТ ЗАНИМАТЬСЯ: - поддержка работоспособности сайта; - доработка функционала и исправление багов; - проектирование и разработка сервисов компании; - расширение и поддержка существующих сервисов; - интеграция со сторонними поставщиками услуг; ТЫ МОЖЕШЬ СТАТЬ ЧАСТЬЮ КОМАНДЫ, ЕСЛИ: - ты усидчивый, ответственный, обучаемый; - ты умеешь работать как в одиночку так и в команде; - у тебя есть опыт работы по специальности от 1 года; - ты умеешь детально разбираться в работе чужого кода; - ты знаешь английский язык на уровне чтения технической документации; НЕОБХОДИМЫЕ НАВЫКИ: - знание PHP 5.6, 7+; - знание MySQL (понимание JOIN-ов); - понимание ООП; - знание JavaScript (jQuery); - умение пользоваться GIT; - умение пользоваться PhpStorm; БУДЕТ ПРЕИМУЩЕСТВОМ: - понимание MVC; - понимание SOLID; - знание Design patterns; - знание Vue.js; - опыт администрирования Ubuntu server; - опыт администрирования Nginx; - опыт администрирования Apache; МЫ ПРЕДЛАГАЕМ: - з/п от 50 000 до 90 000 руб в месяц, определяется по результатам собеседования; - ЕЖЕНЕДЕЛЬНЫЕ выплаты зарплаты на банковскую карту; - полностью УДАЛЁННАЯ работа в Ирландской компании; - график работы - 6/7, гибкий 8 часовой рабочий день; - полная адаптация и обучение с напарником по всем аспектам; ПРЕИМУЩЕСТВА РАБОТЫ У НАС: - Тебе не нужно париться в неудобном офисе, соблюдать скучный дресскод или тратить время на дорогу в забитом общественном транспорте! Работа на дому комфортна и сэкономит кучу сил! - У нас доверительная атмосфера, нет корпоративных сплетен, никто никого не «подсиживает». В основе корпоративной культуры лежат честность и взаимопомощь. - Неформальное общение с руководством, все свои мысли, пожелания или недовольства можно смело выражать начальству. Важные вопросы решаются оперативно. - Участие в уникальном проекте, в котором любители онлайн игр создают крутую платформу для геймеров со всего мира! Присоединяйся к нашей команде и работай над уникальным проектом! Мы ждем твое резюме! Если вы дочитали до конца и заинтересовались этой вакансией, то, пожалуйста, заполните анкету в контактной информации .",,,,PHP|MySQL|ООП|Git|Jetbrains Phpstorm|JavaScript|jQuery|MVC|Ubuntu Server|Nginx
964,964,"web developer (php, mysql, js)",Екатеринбург,50000.0,90000.0,Ganymeda,2019-09-23T20:42:06+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"WowVendor – компания занимающаяся оказанием внутриигровых услуг с 2014 года. Мы помогаем геймерам получать игровые достижения, награды и максимальное удовольствие от любимых онлайн игр! На наш сайт круглосуточно заходят тысячи игроков со всего мира, мы хотим, чтобы наш сервис был быстрым и работал как часы! В связи с развитием проекта, мы ищем в команду дополнительных разработчиков. Нам нужен Web Developer, который будет заниматься поддержанием работоспособности существующих сервисов и развитием новых. ЧЕМ ТЕБЕ ПРЕДСТОИТ ЗАНИМАТЬСЯ: - поддержка работоспособности сайта; - доработка функционала и исправление багов; - проектирование и разработка сервисов компании; - расширение и поддержка существующих сервисов; - интеграция со сторонними поставщиками услуг; ТЫ МОЖЕШЬ СТАТЬ ЧАСТЬЮ КОМАНДЫ, ЕСЛИ: - ты усидчивый, ответственный, обучаемый; - ты умеешь работать как в одиночку так и в команде; - у тебя есть опыт работы по специальности от 1 года; - ты умеешь детально разбираться в работе чужого кода; - ты знаешь английский язык на уровне чтения технической документации; НЕОБХОДИМЫЕ НАВЫКИ: - знание PHP 5.6, 7+; - знание MySQL (понимание JOIN-ов); - понимание ООП; - знание JavaScript (jQuery); - умение пользоваться GIT; - умение пользоваться PhpStorm; БУДЕТ ПРЕИМУЩЕСТВОМ: - понимание MVC; - понимание SOLID; - знание Design patterns; - знание Vue.js; - опыт администрирования Ubuntu server; - опыт администрирования Nginx; - опыт администрирования Apache; МЫ ПРЕДЛАГАЕМ: - з/п от 50 000 до 90 000 руб в месяц, определяется по результатам собеседования; - ЕЖЕНЕДЕЛЬНЫЕ выплаты зарплаты на банковскую карту; - полностью УДАЛЁННАЯ работа в Ирландской компании; - график работы - 6/7, гибкий 8 часовой рабочий день; - полная адаптация и обучение с напарником по всем аспектам; ПРЕИМУЩЕСТВА РАБОТЫ У НАС: - Тебе не нужно париться в неудобном офисе, соблюдать скучный дресскод или тратить время на дорогу в забитом общественном транспорте! Работа на дому комфортна и сэкономит кучу сил! - У нас доверительная атмосфера, нет корпоративных сплетен, никто никого не «подсиживает». В основе корпоративной культуры лежат честность и взаимопомощь. - Неформальное общение с руководством, все свои мысли, пожелания или недовольства можно смело выражать начальству. Важные вопросы решаются оперативно. - Участие в уникальном проекте, в котором любители онлайн игр создают крутую платформу для геймеров со всего мира! Присоединяйся к нашей команде и работай над уникальным проектом! Мы ждем твое резюме! Если вы дочитали до конца и заинтересовались этой вакансией, то, пожалуйста, заполните анкету в контактной информации .",,,,PHP|MySQL|ООП|Git|Jetbrains Phpstorm|JavaScript|jQuery|MVC|Ubuntu Server|Nginx
