,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
515,515,android developer,Новосибирск,80000.0,,Сайтсофт,2019-10-13T09:39:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания «Сайтсофт» — один из признанных лидеров рынка в области разработки IT-решений для государственных организаций. Компания основана в 2005 году в Екатеринбурге. Наши основные направления деятельности: создание и поддержка интернет-проектов государственных организаций и крупного бизнеса, разработка мобильных приложений, продвижение в социальных сетях. Коллектив компании состоит из более 150 высококвалифицированных специалистов , работающих в офисах Москвы, Екатеринбурга и Новосибирска. Приглашаем в нашу команду программиста Android. От вас потребуется: глубокое знание компьютерных технологий, включая алгоритмы, сети, архитектурные шаблоны и шаблоны проектирования; опыт разработки на Java; знание Android SDK; умение искать информацию и находить решения; желание решать нетривиальные задачи. Дополнительными преимуществами будут опыт разработки под другие мобильные платформы и знания любых других языков программирования. Наш стек: MVP/MVVM/Clean Architecture, Android architecture components, RxJava 2, Moxy, Retrofit 2, Realm. Если вы чего-то не знаете, но есть желание узнать, то давайте встречаться! В сферу ваших задач будет входить: разработка приложений для Android; разработка архитектуры приложений; участие в планировании и организации процесса разработки; участие в анализе требований; изучение новых технологий и повышение уровня собственных знаний. Со своей стороны предлагаем: современный офис в БЦ Мост гибкий рабочий график с началом работы с 8:00 до 12:00; полностью белая заработная плата. Уровень оклада обсуждается индивидуально в зависимости от профессиональных компетенций; ежегодный пересмотр заработной платы по результатам работы; возможности для профессионального и карьерного развития; качественное планирование вашей работы. Вы будете знать, чем вы будете заниматься через день, неделю, месяц; работа над востребованными продуктами, которыми пользуются миллионы граждан нашей страны. Среди наших проектов: Интернет-портал МВД России Интернет-портал МЧС России ФССП России и множество других Мы НЕ занимаемся разработкой простых коммерческих сайтов, визиток и т.д. Для нас разработка - это множество интеграционных решений, использование современных технологий, высоконагруженные проекты и сложные задачи. Мы понимаем ценность качественного кода и используемых решений и применяем весь спектр технологий для достижения поставленных целей. Мы поощряем инициативность, ответственность, желание развиваться и совершенствоваться. Мы также высоко ценим позитивное мышление и доброжелательность. Наш основной потенциал - это наши сотрудники. Работа в нашей жизни занимает значительное количество времени и мы делаем все для того, чтобы каждый сотрудник чувствовал себя комфортно. Минимум бюрократии - максимум человеческого отношения. Присоединяйтесь!",,,,Java|Android SDK|SQLite|ООП|Android|JavaScript
737,737,android developer,Новосибирск,80000.0,150000.0,Dialog,2019-10-14T10:07:17+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его. В нашу быстро растущую команду требуется Android Developer для разработки клиентской части месседжинг платформы. Обязанности: разработка и развития приложения для Android проектировать архитектуру мобильного приложения принимать участие в обсуждении UI и UX дизайна. Требования: знание Java, Kotlin; опыт коммерческой разработки Android-приложений не менее одного года; опыт параллельного и многопоточного программирования; понимание жизненного цикла приложения и принципов взаимодействия приложения с Android; знание Material Design Guidelines; опыт оптимизации производительности приложения, профайлинга; самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения; быстрая смекалка и «гибкость» в решении проблем; хорошая ориентация в функциональности современного месседжинга; аккуратизм и идеализм в вопросах интерфейсов. Условия: белая зарплата и гибкий график; персональные снэки, а не просто печеньки (а что вы любите больше Нутеллу или протеиновые батончики?); ДМС со стоматологией (после прохождения испытательного срока); техника Apple для работы; релокационный пакет для иногородних; офис в Технопарке Академгородка или в центре города, на выбор; корпоративные уроки английского языка для всех сотрудников; супер-адекватная и профессиональная команда."," знание Java, Kotlin; опыт коммерческой разработки Android-приложений не менее одного года; опыт параллельного и многопоточного программирования; понимание жизненного цикла приложения и принципов взаимодействия приложения с Android; знание Material Design Guidelines; опыт оптимизации производительности приложения, профайлинга; самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения; быстрая смекалка и «гибкость» в решении проблем; хорошая ориентация в функциональности современного месседжинга; аккуратизм и идеализм в вопросах интерфейсов. ", разработка и развития приложения для Android проектировать архитектуру мобильного приложения принимать участие в обсуждении UI и UX дизайна. ," белая зарплата и гибкий график; персональные снэки, а не просто печеньки (а что вы любите больше Нутеллу или протеиновые батончики?); ДМС со стоматологией (после прохождения испытательного срока); техника Apple для работы; релокационный пакет для иногородних; офис в Технопарке Академгородка или в центре города, на выбор; корпоративные уроки английского языка для всех сотрудников; супер-адекватная и профессиональная команда.",
455,455,android developer,Новосибирск,100000.0,,Movavi,2019-10-13T21:57:29+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Новосибирская IT-компания Movavi создает и продает программы для любительской обработки мультимедиа. Movavi Video Editor, Photo Editor, Video Converter, Screen Capture, Movavi Clips - одни из самых популярных продуктов в мире, ими пользуются в 200 странах мира и помогают миллионам людей легко обрабатывать фото и видео, не требуя специальных знаний и навыков. Мы счастливы представлять Новосибирск на мировой IT-карте! Наши проекты развиваются, наши команды растут и мы ищем сильных разработчиков для запуска новых продуктов, чтобы вместе создавать самый популярный софт для мультимедиа! Чем предстоит заниматься: разрабатывать мобильные приложения (видеоредактор, фоторедактор, PDF-сканер и другие приложения). Для успешного выполнения задач тебе потребуется: опыт программирования на Java/ Kotlin от 3-х лет; опыт разработки Android-приложений от 3-х лет; знание распределенных систем контроля версий (Git); опыт использования JNI или Android NDK. Будет круто, если: ты имеешь опыт разработки с использованием OpenGL. Работа в Movavi - это: команда профессионалов, готовых делиться знаниями и опытом; индивидуальный подход к профессиональному росту и развитию внутри компании; официальное трудоустройство с первого рабочего дня; белая заработная плата + компенсация питания и спорта; удобный график работы как для &quot;жаворонков&quot;, так и для &quot;сов&quot;; занятия йогой и английским языком, не выходя из офиса; здоровье с ДМС; приятная рабочая атмосфера, общение на &quot;ты&quot;; бодрящие корпоративы: горы и ели, море и пальмы, и никакого алкоголя. А еще мы всегда рады внешним рекомендациям! Порекомендуй нашу вакансию своему другу или знакомому, пришли его резюме на почту ( см.контактную информацию ) с пометкой &quot; Внешняя рекомендация на позицию Android разработчика &quot; и получи бонус : 50 000р. за рекомендацию Middle- и 70 000р. за Senior-разработчика, после прохождения им испытательного срока. * Друг должен знать, что его рекомендуют. Если ты не получил ответ на отклик в течение 3-х рабочих дней: 1. Проверь папку &quot;Спам&quot; в электронной почте. Возможно, письмо с ответом оказалось там. 2. Позвони или напиши нам.",,,,Android|Java|Kotlin
199,199,android developer,Новосибирск,,,True Engineering,2019-10-13T18:15:20+0300,От 1 года до 3 лет,Полный день,Полная занятость,"True Engineering – лаборатория технологических инноваций. Стратегические партнеры по цифровой трансформации бизнеса S7 Airlines, Leroy Merlin, «ВСК», «Ингосстрах», «АльфаСтрахование», ГК «ЭФКО», Imperial Tobacco и других. Проектируем и строим цифровые высокодоступные Business Critical платформы . Автоматизируем Core бизнес, создаем клиентские сервисы и сервисы для партнерских сетей. Наши герои - это люди. Именно они творят настоящую история о настоящих профессионалах, настоящих инженерах, настоящих нас. Мы собрали отличную команду в 150 инженеров и продолжаем расти. Ценим профессионализм, простоту, душевность и юмор. С азартом беремся за работу, играем в долгую, принимаем решения и делаем осознанный выбор. Выбор быть настоящими. Зовем приложить руку к разработке по-настоящему полезных и красивых решений . Увидеть на практике Continuous Integration, Continuous Delivery, Continuous Deployment. Что мы ждем от настоящего инженера: Хорошее знание Kotlin и/или Java и Android SDK; Понимание принципов ООП, SOLID; Опыт работы с Git; Опыт создания клиент-серверных приложений; Умение писать понятный, структурированный, качественный код; Английский на уровне чтения технической документации; В большинстве наших проектов используется набор технологий, знание или опыт работы с которыми будет большим плюсом: RxJava, Retrofit, Dagger 2, Room, Realm, Firebase; Android Studio, Gradle; JIRA, Redmine, Fabric (Crashlytics/Beta), GitLab CI, Jenkins; Продукт: Большое функциональное клиентское приложение для страхования. Уникальные клиентские сервисы, тысячи пользователей. Оформление, продление всех видов страхования через приложение, урегулирование убытков, видео-осмотры объектов страхования, распознавание документов. Максимум услуг в онлайне. Настоящий сервис. True Employer: От нас сильная команда дизайна и разработки, поддержка PM, профессиональное окружение, современный технологический стек. Умные, честные, открытые коллеги. Простор для инженерной мысли и уютная рабочая среда. C&amp;B Трудоустройство по ТК РФ Белая заработная плата Бесплатный спорт, бассейн Гибкий рабочий график Красивый офис Легендарные корпоративы Спортивные команды, турник в офисе Корпоративная библиотека Плюшки Закрытая парковка True Engineering - кто мы? Проектируем возможности, работаем на результат, делаем на перспективу . К нам приходят с бизнес-задачей, а мы переводим ее в плоскость информационных технологий и решаем. Инженерный подход позволяет закладывать в решение возможность его развития и глубокой модернизации. Создавать новые конкурентные преимущества для бизнеса. Мы инженеры ИТ-отрасли. Смотрим в будущее, мысленно мы всегда на шаг впереди. Делаем сегодня то, что приведет нас в завтра. Осознанно и рачительно относимся к ресурсам. Ловим технологические тренды , исследуем, применяем инструменты на практике. Умеем и любим учиться, создаем технологические компетенции внутри себя, растим отраслевую бизнес-экспертизу. Создание ценности - наша главная цель. Придумать работающее решение, создать его и добиться бизнес-результата. Знать, что в нем есть кусочек тебя лично, и ты можешь увидеть его в реальных цифрах, графиках, бизнес-показателях использования информационных систем. Наши технологические компетенции – Engineering, Data Mining &amp; Machine Learning, DevOps, Design &amp; Digital. Cтек технологий – Java, .Net, Angular, Vue, iOS, Android. Наш офис находится в новосибирском Академгородке. Мы помогаем с переездом. Если ты хочешь присоединиться к настоящим инженерам , напиши нам",,,,Android SDK|ООП|Java|SQL
271,271,android developer,Новосибирск,,,МобайлДевелопмент (IceRock Development),2019-10-08T07:23:12+0300,От 3 до 6 лет,Удаленная работа,Частичная занятость,"IceRock Development разрабатывает мобильные и Web приложения. Компания обладает обширной географией проектов (Россия, USA, Европа и т.д.), а наш подход к работе дает большой простор для осуществления сложных архитектурных решений. На текущий момент мы в поиске Android developer-a к нам в компанию для работы удаленно. Чем ты будешь заниматься в нашей команде: В команде и самостоятельно вести разработку проектов на платформе Android; Выбирать технологические решения для разработки проектов на платформе. Осужествлять декомпозицию и оценку скоупа задач; Соблюдать регламенты работы; Что мы хотим видеть у тебя : Практический опыт в разработке на платформе Android от 3-х лет (опыт работ с Kotlin); Опыт коммерческой разработки; Знание архитектуры MVVM, современных гугловых компонентов; Технический английский; Внимательность, ответственность; Будет плюсом: Наличие портфолио завершенных и опубликованных проектов; Возможности вместе с нами: Работа на интересных проектах с профессиональной командой; Работа по гибкому графику из любого города; Получать достойную заработную плату. Если вы ищете удаленную работу и готовы пройти техническое интервью - ждем ваш отклик.",,,,Android|Kotlin
800,800,android developer,Новосибирск,,,ARQA Technologies,2019-10-14T12:39:30+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"ARQA Technologies - разработчик сложных программных решений для финансового сектора (банков, инвестиционных и управляющих компаний). Наши продукты QUIK и QORT используются более 300 клиентами в России и западных странах. Головной офис компании находится в тихом центре Новосибирска, в шаговой доступности от транспортной развязки. Города присутствия – Москва, Лондон. На данный момент, в компании работает более 200 человек. Ваши задачи: Разработка приложений с нуля, дальнейшая поддержка и развитие. Мы ожидаем: Законченное высшее образование. Опыт разработки на платформе Android не менее трех лет. Опыт работы / знакомство с javascript. Мы предлагаем: Официальное трудоустройство и соблюдение законодательства о труде. Ежегодные отпуска 31 календарный день, больничные и т.д. ДМС, частичную компенсацию занятий спортом. Уютный офис в тихом центре. Насыщенную корпоративную жизнь в коллективе единомышленников. Гибкий график работы. Для сотрудников со стажем - возможность получить ссуду на первоначальный взнос при покупке жилья.",,,,
821,821,android developer,Новосибирск,,,SIBERS,2019-10-09T10:13:47+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Мобильный отдел компании Sibers ищет разработчиков со знанием ООП, знакомых с разработкой под Android. На работе в Сайберсе тебе предстоит писать игровые, клиент-серверные и мультимедийные приложения для клиентов из разных стран от США до Австралии, общаться с молодым, профессиональным и классным коллективом и развиваться как Android Developer. Требования: Образование: неполное высшее; График работы: полный рабочий день; Стаж работы: 1 год; Место работы: Академгородок, Новосибирск. Необходимые навыки: Хорошее знание Java, знание Kotlin будет плюсом; Знание основ разработки под Android; Знание принципов ООП; Владение английским языком на уровне чтения и понимания документации; Опыт работы с SQL, HTTP. Всем нашим сотрудникам мы предоставляем: участие в интересных и разнообразных проектах для иностранных заказчиков; гибкий рабочий график; семинары, сертификации и карьерный рост; стабильную заработную плату; бесплатные курсы английского языка; множество корпоративных мероприятий; организованные спортивные тренировки: баскетбол, футбол, волейбол, настольный теннис, сноуборд и горные лыжи; льготные обеды; полностью оснащённую кухню в офисе; молодой, дружный и приветливый коллектив!",,,,
1004,1004,android developer,Новосибирск,,,Azoft,2019-10-14T06:48:21+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"17 лет компания Azoft работает на рынке международного IT-аутсорсинга, предоставляя услуги разработки компьютерного и мобильного ПО для компаний по всему миру. Наши клиенты - компании из США , Великобритании, Австралии, России и др. Команда Azoft - увлеченные люди, разбирающиеся в современных технологиях, готовые осваивать новое и помогать другим. Ты - Android разработчик? Щёлкаешь задачи по разработке приложений как орешки? Любишь делиться опытом? Мечтаешь испытать себя в сложных проектах для мировых и российских брендов? Последний год только и делал, что создавал мобильные приложения? Тогда ты нужен нам! Мы предлагаем: Интересные проекты: web, mobile, RnD исследования Опытную команду разработчиков Пространство для реализации себя, своих профессиональных и финансовых амбиций По-настоящему гибкий график работы Стабильную работу и гарантированную загрузку Развитие сотрудников: семинары, конференции, English Забота о здоровье: 2 крутые команды - ИТ-футбол и ИТ-баскетбол, частичная компенсация абонементов в бассейн и фитнес-клубы Хороший отдых: совместные праздники и еженедельные Печенька-Party и сканворды Закрытая парковка: для автомобилей, велосипедов, самокатов, гироскутеров :) Чем предстоит заниматься: Разработкой мобильных приложений для устройств на Android Разработкой новых и доработка существующих компонентов мобильных приложений для клиентов компании Участвовать в разработке проектной документации Анализом требований и оценкой новых проектов/задач Работать в тесном взаимодействии с командой серверной разработки Пожелания к будущему сотруднику: Опыт разработки приложений под Android от года, наличие завершенных рабочих приложений Понимание принципов ООП, SOLID Понимание паттернов архитектуры MVС, MVP и MVVM Отличное знание Java/Kotlin и Android SDK Опыт работы c Dagger2, Retrofit, Firebase, RxJava Опыт использования Git и разработки по git-flow Английский на уровне чтения документации Плюсом будет опыт работы с Android NDK Опыт работы в команде, ответственный подход к работе, ориентация на результат и профессиональное развитие",,,,Kotlin|Java|Android SDK|RxJava|Retrofit|Dagger2|Firebase
