,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
767,767,веб программист на проекты,Екатеринбург,,60000.0,АЛНИКО,2019-10-11T21:29:27+0300,От 1 года до 3 лет,Удаленная работа,Частичная занятость,"Alniko основана в 2004г. Работаем на рынке систем самообслуживания: инфоматы, системы управления очередью, электронные кассиры. На проекты по системам электронной очереди требуется веб-программист для их сопровождения и доработок. Написание дополнительных скриптов и модулей интеграции. Пара слов о нас: Команда опытных интернет-предпринимателей, разработчиков и менеджеров Никакой бюрократии и иерархии, дружеская IT атмосфера Пара слов о проекте: Очень интересные задачи Отлаженные внутренние процессы Сначала думаем, потом делаем Все программисты умные Заказчики тоже умные PHP 7 XAMPP MySQL Нет проблем в коммуникациях От вас будет зависеть правильное распределение потоков людей в очередях и возможность предварительно записаться в очередь Идеальный кандидат имеет: Опыт в проектах веб-программирования Хорошее знание PHP, MySQL Желание проявлять самостоятельность и нести ответственность за качество и результат 90% ключевых навыков перечисленных ниже Место и график работы: Место: где есть розетка и хороший Интернет Гибкий график От Вас: Краткий рассказ о себе в сопроводительном письме к отклику. Также обязательно укажите уровень владения перечисленными ключевыми навыками.",,,,PHP|HTML|JavaScript|MySQL|CSS|jQuery|HTML5|Linux|Git|CSS3|Ajax|PHP5|XML|ООП|PHP7|JSON API
245,245,веб программист на проекты,Новосибирск,,60000.0,АЛНИКО,2019-10-11T21:29:27+0300,От 1 года до 3 лет,Удаленная работа,Частичная занятость,"Alniko основана в 2004г. Работаем на рынке систем самообслуживания: инфоматы, системы управления очередью, электронные кассиры. На проекты по системам электронной очереди требуется веб-программист для их сопровождения и доработок. Написание дополнительных скриптов и модулей интеграции. Пара слов о нас: Команда опытных интернет-предпринимателей, разработчиков и менеджеров Никакой бюрократии и иерархии, дружеская IT атмосфера Пара слов о проекте: Очень интересные задачи Отлаженные внутренние процессы Сначала думаем, потом делаем Все программисты умные Заказчики тоже умные PHP 7 XAMPP MySQL Нет проблем в коммуникациях От вас будет зависеть правильное распределение потоков людей в очередях и возможность предварительно записаться в очередь Идеальный кандидат имеет: Опыт в проектах веб-программирования Хорошее знание PHP, MySQL Желание проявлять самостоятельность и нести ответственность за качество и результат 90% ключевых навыков перечисленных ниже Место и график работы: Место: где есть розетка и хороший Интернет Гибкий график От Вас: Краткий рассказ о себе в сопроводительном письме к отклику. Также обязательно укажите уровень владения перечисленными ключевыми навыками.",,,,PHP|HTML|JavaScript|MySQL|CSS|jQuery|HTML5|Linux|Git|CSS3|Ajax|PHP5|XML|ООП|PHP7|JSON API
