,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
71,71,php разработчик (1с битрикс программист),Новосибирск,70000.0,70000.0,Proactivity Group,2019-10-16T14:22:32+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Ищем веб-разработчика для решения интересных задач, связанных с развитием проекта WORKSPACE.ru. Требования: Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). Условия: Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста."," Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). ",, Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста.,Backbone|1С-Битрикс|ООП|Веб-программирование|JavaScript|PHP|Умение работать в коллективе
937,937,php разработчик (1с битрикс программист),Екатеринбург,70000.0,70000.0,Proactivity Group,2019-10-16T14:24:07+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"PHP - разработчик на проект workspace.ru (удаленно) Ищем веб-разработчика для решения интересных задач, связанных с развитием проекта WORKSPACE.ru. Требования: Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). Условия: Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста."," Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). ",, Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста.,Backbone|1С-Битрикс|ООП|Веб-программирование|JavaScript|PHP|Умение работать в коллективе
