,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
219,219,senior java разработчик,Новосибирск,,130000.0,Magenta Technology,2019-10-03T00:18:54+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"В связи с расширением нашего направления разработки программных решений для для банковского сектора мы ищем SENIOR JAVA DEVELOPER -а С чем предстоит работать: реализовывать сложную бизнес-логику продукта на Java EE и улучшать существующий код; взаимодействовать с аналитиками, дизайнерами, тестировщиками, службой поддержки; принимать участие в проектировании и поддержке продукта; Мы ожидаем: опыт работы на позиции senior или ведущего java разработчика; опыт работы в распределенной команде и опыт удаленной работы; отличное знание Java EE и опыт использования (мы используем WildFly, Hibernate); отличное знание реляционных баз данных, промышленный опыт работы с MS SQL или Oracle DB; опыт работы с операционными системами GNU Linux дистрибутива RedHat (Centos,Oracle Linux). Cтек разработки бэкэнда в нашем продукте: серверы: WildFly; базы данных: Oracle DB 12c; технологии: Java 8, Java EE 7, AngularJS, maven, liquibase, socketio. инструменты: Jira, Confluence, GitLab, TeamCity, Upsource.",,,,Java|SQL|Linux|Git|MS SQL
516,516,senior java разработчик,Челябинск,,130000.0,Magenta Technology,2019-10-03T00:18:54+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"В связи с расширением нашего направления разработки программных решений для для банковского сектора мы ищем SENIOR JAVA DEVELOPER -а С чем предстоит работать: реализовывать сложную бизнес-логику продукта на Java EE и улучшать существующий код; взаимодействовать с аналитиками, дизайнерами, тестировщиками, службой поддержки; принимать участие в проектировании и поддержке продукта; Мы ожидаем: опыт работы на позиции senior или ведущего java разработчика; опыт работы в распределенной команде и опыт удаленной работы; отличное знание Java EE и опыт использования (мы используем WildFly, Hibernate); отличное знание реляционных баз данных, промышленный опыт работы с MS SQL или Oracle DB; опыт работы с операционными системами GNU Linux дистрибутива RedHat (Centos,Oracle Linux). Cтек разработки бэкэнда в нашем продукте: серверы: WildFly; базы данных: Oracle DB 12c; технологии: Java 8, Java EE 7, AngularJS, maven, liquibase, socketio. инструменты: Jira, Confluence, GitLab, TeamCity, Upsource.",,,,Java|SQL|Linux|Git|MS SQL
