,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
112,112,full stack developer,Новосибирск,70000.0,120000.0,Шпак Виктория Сергеевна,2019-10-07T12:41:11+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"К команде разработки компании ООО Туласофт приглашает присоединиться full-stack разработчика (JS/ASP.NET) Проект: High-load тизерная сеть, целевые параметры - десятки миллионов запросов в сутки, порядка сотни миллионов тизеров в сутки. Стек технологий компании: ASP.NET Core, SQL Server, PostgreSQL, Entity Framework 6, HTML, CSS, JavaScript, SASS/LESS, jQuery. Используем микросервисную архитектуру, различные фронт-энд фреймворки и инструменты (e.g. Angular 2+, npm), Yandex ClickHouse. Чем нужно будет заниматься: - проектированием и разработкой веб-сервиса; - писать понятный, оптимальный код; - разрабатывать новые фичи и многое другое. От кандидата ожидаем: - опыт коммерческой разработки от 2-х лет; - опыт в проектировании и разработке высоконагруженных веб-сервисов с использованием: ASP.NET MVC 4, 5, или ASP.NET Core; - опыт работы с HTML, CSS, JavaScript, angular 4+; - опыт работы с SQL (преимущественно SQL Server или PostgreSQL); - опыт работы с Entity Framework 6; - желание изучать современные технологии; - самостоятельность и ответственность; - опыт работы с git; - опыт работы в команде/удаленно; - английский на уровне чтения технической литературы. Будет большим плюсом: - опыт разработки с использованием vanilla.JS; - опыт работы с clickhouse; - английский (устное общение, чтение документации и требований); От нас: - заработная плата от 70 т.р. до 120 т.р. на руки; - график работы 40 часов в неделю (сб,вс - выходные); - гибкое начало дня с 8-12; - полностью удаленная работа в распределенной команде; - минимум бюрократии (больничные листы не обязательны к предъявлению и не влияют на заработную плату); - оплачиваемый отпуск 28 дней; - возможность профессионального развития (используем современные технологии в проектах).",,,,JavaScript|jQuery|AngularJS|ASP.NET|Entity Framework|SQL|SQL Server|PostgreSQL|Less|Sass|CSS|Linux|MVC|angular 4+|Git|remote
464,464,full stack developer,Краснодар,,,ДжетРуби Эйдженси,2019-10-21T14:12:21+0300,От 3 до 6 лет,Полный день,Полная занятость,"В команду JetRuby Agency ищем Full Stack разработчика, который вместе с нами будет работать над международными проектами из США, Европы, Китая, Австралии и др. Компания входит в ТОП-20 среди IT service companies по оценкам международных рейтинговых агентств в секции Ruby Development и сейчас активно наращивает компетенции в React.js и Node.js Development. Подавляющее количество проектов из США, будет возможность прокачать разговорный английский. Будет возможность получить опыт в разработке широкого спектра приложений используя самые современные технологии, от которых твой опыт вырастет в геометрической прогрессии. Тебя ждет много интересных задач, общение с иностранными заказчиками- ты будешь в среде единомышленников. Ожидания: JavaScript от 3 лет, обязателен опыт работы с ES6+ ; Опыт коммерческой разработки от 2 лет; Умение писать чистый и понятный JS код; Опыт работы минимум с одной из реляционных БД (PostgreSQL, MySQL, MsSQL, Oracle) или NoSQL ( MongoDB) Git (git flow); Опыт работы с REST API и/или GraphQL; Настройка webpack и сборка приложений; Знание английского языка Pre-Intermediate+ Будет плюсом: Знание архитектурных паттернов Опыт работы с Apollo-client Gatsby.js Опыт написания и использования автоматических тестов (например на jest), понимание процессов тестирования ПО; Навыки отладки кода и профилирования; Понимание подходов Agile, опыт работы по одной из Agile практик (Scrum, Kanban, XP); Предлагаем: Высокий уровень зп и регулярный ее пересмотр (ревью каждые 3 мес); С каждым сотрудником прорабатываем индивидуальный план профессионального развития (PDP) и карьеры в компании; Комфортабельный современный офис в самом центре с шикарным видом; Тимбилдинги и корпоративные мероприятия; Витаминный день каждую неделю (фрукты от пуза), про печеньки и плюшки даже не упоминаем это само собой; По желанию до 5 дней (1 неделя) в месяц можно работать удаленно; Дружный коллектив и адекватное руководство; Помощь в релокации и устройстве на новом месте, если ты едешь к нам из другого города",,,,Node.js|JavaScript|Английский язык
495,495,full stack developer,Краснодар,,,МегаФон,2019-10-16T09:15:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Какие задачи необходимо решать: • Разработка функционала в Service Manager • Разработка API для взаимодействия со смежными системами • Участие в Code Review • Участие в совместном принятии архитектурных и технических решений с командой разработчиков • Взаимодействие с аналитиками команды • Взаимодействие с интегратором и вендором системы • Согласование технологии реализации выбранной интегратором Стек технологий: Service Manager, JavaScript, html, CSS, Python, Oracle, GIT/Jira/Confluence Для решения этих задач требуется: • Высшее техническое образование • Понимание принципов ООП • Опыт коммерческой разработки • Уверенное знание JavaScript • Опыт написания Unit-тестов • Опыт работы с Git/Jira • Опыт реализации интеграций cо сторонними системами, с использованием SOAP/REST протоколов • Опыт работы с СУБД Oracle, на уровне написания запросов • Понимание культуры Agile (Scrum, Kanban) Будет являться плюсом: • Понимание процессов ITIL/ITSM • Практическое использование гибких методологий разработки ПО (Scrum, Kanban, CI/CD, DevOps) • Опыт конфигурирования и администрирования Apache Tomcat • Знание модулей HP Service Manager 9.x • Умение работать в Unix-окружении",,,,JavaScript|MS SQL|Service Manager|СУБД Oracle
812,812,full stack developer,Екатеринбург,,,Softline,2019-10-21T07:45:07+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Приглашаем в отдел разработки программного обеспечения программиста Проект soica.ru Вакансия актуальна для РФ Мы рассматриваем кандидатов с профессиональным успешным опытом в разработке, также начинающих специалистов, жаждущих развития и имеющих портфолио с интересными проектами или по результатам ТЗ. ЗАДАЧИ: Работа в команде с team leader над web - модулями платформы soica.ru (система потокового распознавания документов): Модернизация и доработка web приложений платформы; Реализация новых компонентов интерфейса (web-приложение). МЫ ОЖИДАЕМ: 3+ года опыта разработки на C#; ASP.NET MVC и/или Web API; Опыт работы с Entity Framework; JavaScript, HTML, CSS, Ajax, jQuery; Опыт работы с Git; Весьма желательно умение и желание писать unit тесты; Будет преимуществом наличие портфолио. МЫ ПРЕДЛАГАЕМ: Работа в международной и лидирующей IT компании, профессиональное развитие; Социальный пакет согласно ТК РФ, официальное трудоустройство; Работа в молодой и дружной команде профессионалов; Удаленная работа.",,,,C#|ASP.NET|JavaScript|HTML|CSS|Ajax|jQuery|Git
