,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
562,562,php программист,Новосибирск,60000.0,90000.0,Бизнес Решения,2019-10-13T09:37:17+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Крупному порталу о недвижимости требуется PHP-программист на удаленку! Нам нужен самостоятельный профи с высоким уровнем ответственности и самоконтроля. Стек технологий: php7 mysql redis mongoDB yii2 git symfony Основные задачи: разработка и поддержка функциональных частей проекта; разработка и покрытие тестами отдельных участков; профилирование и отладка сложных участков. Для нас важно: опыт разработки порталов; уверенные знания PHP7, MySQL; умение работать в команде и разбираться в чужом коде. Условия: Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader.",,," Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader.",MySQL|MongoDB|Git|Yii|Redis|PHP
544,544,php программист,Новосибирск,70000.0,90000.0,Маркет Плюс,2019-09-26T05:22:19+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"В маленькую, но крутую команду веб разработчиков, ищутся такие же крутые специалисты, а также желающие таковыми стать. У нас всего два требования к кандидатам: Знание PHP; Понимание, и главное умение применять на практике принципы ООП и всем известные простые сокращения KISS, DRY, YAGNI, SOLID. А если в дополнение к этому ты практикуешь DDD, пишешь тесты, спокойно воспринимаешь слова легаси и рефакторинг, то у нас почти на 100% случится взаимная любовь с первого взгляда. На чем мы пишем? Бэкэнд: PHP 7+, Symfony и Laravel, Elastic (только когда он реально нужен); БД: MySQL; Тесты: PHPUnit, Codeception; Docker как среда разработки; Фронт: Vue, JQuery, Webpack, SCSS. Как мы пишем? Проводим Code review; Следуем лучшим практикам; Любим красивый код - простой, понятный, лаконичный; Пишем автотесты. Что мы пишем? Большие проекты, со сложной бизнес логикой и реальными пользователями. Что еще? У нас нет HR, бюрократии, авралов и длинных коммуникаций; У нас есть директор-программист и команда сильных разработчиков; В первую очередь мы будем смотреть твой код, потом на все остальное; Про кофе, печеньки, гибкий график и офис в центре города даже не пишем... Это неинтересно и есть у всех. У нас тоже.",,,,MySQL|JavaScript|CSS3|Ajax|PHP|HTML|CSS|ООП|HTML5|Git
43,43,php программист,Новосибирск,90000.0,180000.0,"Egamings, филиал г. Псков",2019-10-04T18:14:31+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Новосибирск. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Новосибирске. Требования: Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis; Обязанности: Поддержка и написание новых модулей для внутренних web-приложений компании; Условия: Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180&#39;000 рублей (в зависимости от уровня программиста); Собеседование: Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала; Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом. В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве"," Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis; Обязанности: Поддержка и написание новых модулей для внутренних web-приложений компании; ",," Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180&#39;000 рублей (в зависимости от уровня программиста); Собеседование: Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала; Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом. В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве",PHP|MySQL|PHP5|HTML5|JavaScript|Git|ООП
501,501,php программист,Новосибирск,100000.0,,Завод Светодиодной Продукции,2019-10-07T11:33:03+0300,От 3 до 6 лет,Полный день,Полная занятость,"Завод светодиодной продукции - LEDsi приглашает тебя стать частью успешной команды! Мы производим в Новосибирске и продаем по всему миру: светодиодную продукцию (экраны, пилоны, медиа-фасады, светодиодные шары и прочее); платёжно-информационное оборудование самообслуживания (платёжные терминалы, информационные киоски). Наши проекты (это и многое другое): 1. Удаленное управление медиаконтентом на светодиодных носителях. Стек технологий: PHP, CSS, JS, PostgreSQL, Laravel5, jQuery, VueJS, Linux. 2. Разработка CRM для основного вида деятельности (производство светодиодной продукции) и нового проекта (агентство недвижимости). Стек технологий: PHP, HTML, CSS, JS, Laravel, PostgreSQL, Redis, JQuery. Мы ожидаем от тебя: Владение PHP, HTML, CSS, JS на уровне черного пояса; Знание PostgreSQL, MySQL, плюсом будет опыт работы с NoSQL; Опыт работы с фреймворками Laravel5/Yii2, jQuery, VueJS; Владение Linux и командной строкой, не пугаться слов Bash/*SH. Компания предлагает: Официальное трудоустройство; Гибкий график работы; Комфортное рабочее место близ ст. метро Красный проспект; Заработная плата от 100 000 руб.(Размер оплаты труда обсуждается на собеседовании). Тебе понравится: Востребованный на рынке продукт, стабильность бизнеса; Ежегодная индексация заработной платы; Интересные проекты; Амбициозные задачи; Перспектива карьерного роста; Дружный коллектив, взаимоподдержка, интересная корпоративная жизнь. Ждем отклик!",,,,PHP|MySQL|PostgreSQL|HTML|CSS|Linux|NoSQL|Bash
560,560,php программист,Новосибирск,,,С7 Информационные технологии,2019-10-12T00:06:18+0300,От 1 года до 3 лет,Полный день,Полная занятость,"S7 IT — одно из ключевых подразделений холдинга S7. Мы занимаемся разработкой собственного ПО, развитием и поддержкой IT-инфраструктуры, обеспечиваем автоматизацию бизнес-процессов. Сейчас мы ищем в команду PHP-программиста. Чем предстоит заниматься: разработка модулей внутренней информационной системы; участие в разработке бизнес-процессов. Что ждём от кандидата: владение PHP; опыт работы с SQL-БД (Oracle, PostgreSQL желательно); желательно владение Yii, Angular, jQuery; плюсом будет опыт интеграции с различными ИС. Об условиях. Мы работаем в современном и комфортном офисе в минуте ходьбы от ст.м. Октябрьская. Ежегодно посещаем лучшие ИТ-конференции, организуем тренинги и ведём внутренний проект обмена знаниями «Talk about IT». У нас официальное трудоустройство, &quot;белая&quot; заработная плата, полный соцпакет. Всей семьей летаем по корпоративным тарифам самой пунктуальной российской авиакомпанией - S7 Airlines.",,,,PHP
561,561,php программист,Новосибирск,,,Резольвента,2019-10-13T09:31:15+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Привет, потенциальный сотрудник! Устал читать десятки одинаковых вакансий для PHP разработчиков? Тогда смотри нашу. В маленькую, но крутую команду веб разработчиков, ищутся такие же крутые специалисты, а также желающие таковыми стать. У нас всего два требования к кандидатам: Знание PHP Понимание, и главное умение применять на практике принципы ООП и всем известные простые сокращения KISS, DRY, YAGNI. А если в дополнение к этому ты умеешь писать тесты, спокойно воспринимаешь слова легаси и рефакторинг, любишь чистый код, то у нас почти на 100% случится взаимная любовь с первого взгляда. На чем мы пишем? Бэкэнд: PHP 7+, Symfony и Laravel, Elastic (только когда он реально нужен) БД: MySQL Тесты: PHPUnit, Codeception Docker как среда разработки Фронт: Vue, Webpack, SCSS Как мы пишем? Проводим Code review Следуем лучшим практикам Любим чистый код - простой, понятный, лаконичный Пишем автотесты Что мы пишем? Большие проекты, со сложной бизнес логикой и реальными пользователями. Что еще? У нас нет HR, бюрократии, авралов и длинных коммуникаций. У нас есть директор-программист и команда сильных разработчиков. В первую очередь мы будем смотреть твой код, потом на все остальное. Про кофе, печеньки, гибкий график и офис в центре города даже не пишем... Это неинтересно и есть у всех. У нас тоже.",,,,MySQL|CSS3|Ajax|PHP|HTML|ООП|CSS|JavaScript|Git|HTML5
621,621,php программист,Новосибирск,,,Реклама Онлайн Группа компаний,2019-09-24T05:39:25+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: – высшее образование и стаж работы от 2-х лет – знание PHP 7.2 (OOP), Sql (Mysql, MariaDb), Javascript (jQuery, Angular 2x), HTML/CSS Условия: – работа в офисе на полный рабочий день – Зарплата – по договоренности Опыт работы/навыки: – опыт работы с ZF1, ZF2,Yii2 (MVC, Forms) – опыт работы с системами контроля версий (Git), Composer – опыт работы в среде Linux (рабочее место), продвинутый пользователь Обязанности: – разработка новых и рефакторинг существующих модулей сайта r-o.ru (ZF1, ZF2) и корпоративного интранет портала (ZF1,ZF2 .. + в т.ч. legacy)."," – высшее образование и стаж работы от 2-х лет – знание PHP 7.2 (OOP), Sql (Mysql, MariaDb), Javascript (jQuery, Angular 2x), HTML/CSS ",," – работа в офисе на полный рабочий день – Зарплата – по договоренности Опыт работы/навыки: – опыт работы с ZF1, ZF2,Yii2 (MVC, Forms) – опыт работы с системами контроля версий (Git), Composer – опыт работы в среде Linux (рабочее место), продвинутый пользователь Обязанности: – разработка новых и рефакторинг существующих модулей сайта r-o.ru (ZF1, ZF2) и корпоративного интранет портала (ZF1,ZF2 .. + в т.ч. legacy).",JavaScript|HTML|CSS|SQL|PHP
931,931,php программист,Новосибирск,,,ИОМ Анкетолог,2019-10-14T06:55:33+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Anketolog.ru - российский проект, предоставляющий услуги для сферы В2В2C по проведению социологических и маркетинговых исследований. Компания основана в 2010 году.Мы ищем ответственного разработчика на PHP, который способен быстро подключиться к работе над проектом. Необходимые навыки и знания: Хорошие знания PHP 5+; Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.); Понимание принципов MVC; Знание HTML, CSS и Javascript; Знание SQL (индексы, джоины и пр.). Будет плюсом: Знание фреймворков Yii, Symfony; Опыт работы с mongodb, sphinx, elasticsearch; Опыт работы с Javascript библиотеками: backbonejs, marionettejs, react; Опыт работы с системами правления версиями (git). Условия: работа в IT-проекте; молодой коллектив; возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста; официальное трудоустройство; размер заработной платы обсуждается на собеседовании.",,, работа в IT-проекте; молодой коллектив; возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста; официальное трудоустройство; размер заработной платы обсуждается на собеседовании.,Yii|PHP|PHP7|CSS3|JavaScript|jQuery|marionettejs|reactjs|Backbone
