,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
918,918,ведущий программист 1с (эксперт),Екатеринбург,120000.0,,Автоматизация и Консалтинг,2019-10-03T09:56:12+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания «Автоматизация и консалтинг» - это один из крупнейших интеграторов ИТ-решений для комплексной автоматизации предприятий. Создаем команду лучших специалистов для работы в режиме самоуправления. Если Вы лучший, то мы Вас берем! Наша миссия - увеличивать эффективность бизнеса заказчика, используя передовые информационные технологии. Наши принципы: Честность (по отношению к Заказчику и друг к другу); Ответственность за данные обещания; Высокое качество выполняемых работ и постоянное совершенствование мастерства сотрудников. Обязанности: Разработка и проведение нагрузочных тестов; Оптимизация программных решений; Технологический аудит; Разработка технической документации; Работа с высоконагруженными системами, оценка производительности; Опыт работы в команде, численностью более 60 человек); Участие в оценке работы и ежедневный анализ кода команд разработки. Требования: Экспертные знания по технологической платформе 1С (Наличие сертификата); Опыт работы современных СУБД, опыт работы с конкретно MS SQL/T-SQL; Понимание и опыт работы с обменами и другими интеграционных механизмами; Наличие работы с ESB будет преимуществом; Ответственное отношение к делу, умение анализировать ситуацию, навык работы в команде, ориентация на достижение результата в решении бизнес-задач заказчика; Способность быстро включаться в работу, решать задачи разного уровня сложности. Условия: Стабильная, своевременная выплата заработной платы; Работа с одним клиентом - компанией &quot;Вкусвилл&quot;; Удаленная занятость с 9 до 18 по мск; Варианты оформления сотрудничества, полное соблюдение гарантий законодательства; Сотрудничество на постоянной основе; Богатый опыт сплоченной команды профессионалов, где Вы сможете реализовать свой потенциал; Компенсация спортивных занятий и затрат на обучение детей программированию."," Экспертные знания по технологической платформе 1С (Наличие сертификата); Опыт работы современных СУБД, опыт работы с конкретно MS SQL/T-SQL; Понимание и опыт работы с обменами и другими интеграционных механизмами; Наличие работы с ESB будет преимуществом; Ответственное отношение к делу, умение анализировать ситуацию, навык работы в команде, ориентация на достижение результата в решении бизнес-задач заказчика; Способность быстро включаться в работу, решать задачи разного уровня сложности. "," Разработка и проведение нагрузочных тестов; Оптимизация программных решений; Технологический аудит; Разработка технической документации; Работа с высоконагруженными системами, оценка производительности; Опыт работы в команде, численностью более 60 человек); Участие в оценке работы и ежедневный анализ кода команд разработки. "," Стабильная, своевременная выплата заработной платы; Работа с одним клиентом - компанией &quot;Вкусвилл&quot;; Удаленная занятость с 9 до 18 по мск; Варианты оформления сотрудничества, полное соблюдение гарантий законодательства; Сотрудничество на постоянной основе; Богатый опыт сплоченной команды профессионалов, где Вы сможете реализовать свой потенциал; Компенсация спортивных занятий и затрат на обучение детей программированию.",
336,336,ведущий программист 1с (эксперт),Краснодар,120000.0,,Автоматизация и Консалтинг,2019-10-03T09:56:07+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания «Автоматизация и консалтинг» - это один из крупнейших интеграторов ИТ-решений для комплексной автоматизации предприятий. Создаем команду лучших специалистов для работы в режиме самоуправления. Если Вы лучший, то мы Вас берем! Наша миссия - увеличивать эффективность бизнеса заказчика, используя передовые информационные технологии. Наши принципы: Честность (по отношению к Заказчику и друг к другу); Ответственность за данные обещания; Высокое качество выполняемых работ и постоянное совершенствование мастерства сотрудников. Обязанности: Разработка и проведение нагрузочных тестов; Оптимизация программных решений; Технологический аудит; Разработка технической документации; Работа с высоконагруженными системами, оценка производительности; Опыт работы в команде, численностью более 60 человек); Участие в оценке работы и ежедневный анализ кода команд разработки. Требования: Экспертные знания по технологической платформе 1С (Наличие сертификата); Опыт работы современных СУБД, опыт работы с конкретно MS SQL/T-SQL; Понимание и опыт работы с обменами и другими интеграционных механизмами; Наличие работы с ESB будет преимуществом; Ответственное отношение к делу, умение анализировать ситуацию, навык работы в команде, ориентация на достижение результата в решении бизнес-задач заказчика; Способность быстро включаться в работу, решать задачи разного уровня сложности. Условия: Стабильная, своевременная выплата заработной платы; Работа с одним клиентом - компанией &quot;Вкусвилл&quot;; Удаленная занятость с 9 до 18 по мск; Варианты оформления сотрудничества, полное соблюдение гарантий законодательства; Сотрудничество на постоянной основе; Богатый опыт сплоченной команды профессионалов, где Вы сможете реализовать свой потенциал; Компенсация спортивных занятий и затрат на обучение детей программированию."," Экспертные знания по технологической платформе 1С (Наличие сертификата); Опыт работы современных СУБД, опыт работы с конкретно MS SQL/T-SQL; Понимание и опыт работы с обменами и другими интеграционных механизмами; Наличие работы с ESB будет преимуществом; Ответственное отношение к делу, умение анализировать ситуацию, навык работы в команде, ориентация на достижение результата в решении бизнес-задач заказчика; Способность быстро включаться в работу, решать задачи разного уровня сложности. "," Разработка и проведение нагрузочных тестов; Оптимизация программных решений; Технологический аудит; Разработка технической документации; Работа с высоконагруженными системами, оценка производительности; Опыт работы в команде, численностью более 60 человек); Участие в оценке работы и ежедневный анализ кода команд разработки. "," Стабильная, своевременная выплата заработной платы; Работа с одним клиентом - компанией &quot;Вкусвилл&quot;; Удаленная занятость с 9 до 18 по мск; Варианты оформления сотрудничества, полное соблюдение гарантий законодательства; Сотрудничество на постоянной основе; Богатый опыт сплоченной команды профессионалов, где Вы сможете реализовать свой потенциал; Компенсация спортивных занятий и затрат на обучение детей программированию.",
