,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,MySQL,HTML,PHP5,JavaScript,1С-Битрикс,Другое
437,437,backend,Краснодар,56363.636363636375,97500.0,MST,2019-09-25T09:26:04+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Digital агентство MST входит в 10-ку сильнейших агентств всей России. В нашем портфолио есть такие бренды, как Panasonic, IKEA, Audi, М.Видео, Raiffeisen, Роснефть, British Petroleum, Газпромнефть, Номос-Банк/Открытие, Серебряный дождь, Лайф, BNP Paribas, Incanto, Valentin Yudashkin, Madrobots, Алые паруса, DMI/Дятьково, Московский Индустриальный Банк и др. Сейчас MST активно развивается и открывает новую вакансию PHP-разработчик (Yii2) в г. Краснодаре. Требования: Уверенное владение PHP и MySQL; Понимание принципов ООП, DRY, KISS и SOLID; Базовые знания HTML, CSS, JS (есть хорошие frontend разработчики, но знать это необходимо); Опыт работы на фреймворке Yii2. Плюсом будет: Знание и опыт работы с PostgreSQL, MS SQL и noSQL (mongoDB) хранилищами; Опыт разработки на 1C-Bitrix; Опыт работы с E-commerсe системами; Опыт работы с Web Services (SOAP, Rest). Условия: Трудоустройство по Трудовому кодексу Российской Федерации; Крупные и интересные проекты с лидерами Российского и мирового рынка; Дружный коллектив мастеров своего дела; Участие в семинарах, тренингах и конференциях; Корпоративная библиотека; Возможность гибкого графика; Достойная заработная плата."," Уверенное владение PHP и MySQL; Понимание принципов ООП, DRY, KISS и SOLID; Базовые знания HTML, CSS, JS (есть хорошие frontend разработчики, но знать это необходимо); Опыт работы на фреймворке Yii2. Плюсом будет: Знание и опыт работы с PostgreSQL, MS SQL и noSQL (mongoDB) хранилищами; Опыт разработки на 1C-Bitrix; Опыт работы с E-commerсe системами; Опыт работы с Web Services (SOAP, Rest). ",Без обязанностей," Трудоустройство по Трудовому кодексу Российской Федерации; Крупные и интересные проекты с лидерами Российского и мирового рынка; Дружный коллектив мастеров своего дела; Участие в семинарах, тренингах и конференциях; Корпоративная библиотека; Возможность гибкого графика; Достойная заработная плата.",PHP|Yii|1С-Битрикс|HTML|CSS|MySQL,0.8666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
273,273,backend,Краснодар,56363.636363636375,97500.0,BRB Ramo,2019-09-25T10:31:59+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: работа над оптимизацией и улучшением юзабилити сайта; работа над улучшением позиций сайта в поисковых системах google и яндекс; отслеживание показателей по улучшению работы сайта и исправление замечаний Google Search Console и Yandex Webmaster; добавление новых разделов, подразделов, форм для удобства восприятия информации и работы с сайтом; использование навыков программирования PHP под поставленные задачи; формирование писем PHP для рассылки; загрузка готовых текстов на сайт. Требования: высокий уровень владения языком программирования PHP; работа с MySQL и БД; работа с поисковыми системами google и яндекс по оптимизации сайта (отслеживание и исправление ошибок); оптимизация изображений сайта; конкурентный анализ по определенным направлениям, согласно заданным критериям (возраст сайта и домена, анализ ссылочной базы, источники трафика, количество отражаемых страниц через поисковые системы, положительные и отрицательные стороны, оценка количества символов, размещенных на страницах в топе и пр.); работа по закупке ссылочной базы; навыки SEO-продвижения (формирование семантического ядра сайта, работа с поисковыми запросами, проработка Meta-teg и description, пр.); работа над внутренней структурой ресурса (ЧПУ, Robots.txt, карта сайта, карта блога); устранение технических ошибок (дубли страниц, битые ссылки); корректная перелинковка страниц внутри сайта; положительный опыт работы с версткой текста (понимание эстетики расположения, отступов, границ текста, расположение картинок и текста, чувство гармонии внешнего вида web-страницы и прочее).",Без требований," работа над оптимизацией и улучшением юзабилити сайта; работа над улучшением позиций сайта в поисковых системах google и яндекс; отслеживание показателей по улучшению работы сайта и исправление замечаний Google Search Console и Yandex Webmaster; добавление новых разделов, подразделов, форм для удобства восприятия информации и работы с сайтом; использование навыков программирования PHP под поставленные задачи; формирование писем PHP для рассылки; загрузка готовых текстов на сайт. ",Без условий,MySQL|PHP|SEO|PHP5|CSS,0.8666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
256,256,backend,Краснодар,56363.636363636375,97500.0,Философия.ИТ,2019-10-03T10:36:57+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Веб-разработчика PHP на проект в Банке Задачи: Разработка и поддержка веб-порталов Ведение технической документации по задачам Ожидания от квалификации: Аналитические способности Готовность решать нестандартные задачи Способность к самообучению, организованность, ответственность Умение оценки задач и соблюдение сроков Знание PHP 5.2 и выше Преимуществом будет: Понимание ООП Знание паттернов проектирования PSR PHPDoc Знание HTML, CSS, JS (jQuery, AngularJS) Знание SQL, опыт работы с Oracle PL/SQL Опыт работы с SVN, Git Навыки системного администрирование Unix/Linux Что мы готовы предложить взамен: полный пакет гарантий ТК РФ. дополнительный пакет уже персонально от нашей компании: ДМС со стоматологией, оплата 50% стоимости фитнеса, оплачиваемая мобильная связь и много других приятных составляющих. возможность расти и развиваться в команде профессионалов. возможность обучаться у коллег-экспертов и получать новые знания за пределами организации. Но потом делиться этими знаниями со своими коллегами. Локацию в пешей доступности от ст. м. Полежаевская/Чистые пруды/Крестьянская застава",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
291,291,backend,Краснодар,56363.636363636375,97500.0,FinFort,2019-10-18T07:52:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Участие в разработке интегрированной эко-системы, объединяющей компании финансового сектора (страховые компании, НПФ, банки), брокеров и агентов, а также все смежные и сервисные отрасли. Система позволяет в онлайн-режиме поставщикам продавать свои продукты, используя прямые коммуникации с брокером и агентом, которые, в свою очередь, в минимальные временные сроки доставят продукт до конечного потребителя. А также позволяющая объединить разрозненные сведения о существующих клиентах в единую базу данных, пополняющуюся ежедневно и открывающую неограниченные возможности для построения персонифицированного маркетинга. Обязанности: - Разработка биллинговой системы; - Анализ требований, документации по смежным системам; - Разработка архитектуры, логики; - Поиск, тестирование решений; - Интеграция со смежными системами; - Декомпозиция задач; - Планирование сроков; - Документирование, поддержка создаваемого кода. Требования: - Знание PHP версий 7.*; - Опыт работы SQL, NoSQL; - Docker; - Понимание принципов работы JS в современных браузерах; - Понимание модели MVC; - Опыт работы с одним из фреймворков Symfony, Laravel, Yii; - Знание REST и SOAP; - Знание Git; - Чтение и рефакторинг чужого кода. Будет плюсом: - Опыт работы с не реляционными данными и системами управления ими; - Знание CI/СD (Jenkins, GitLab), microservices; - Знание Unit tests; - Выполненные проекты в открытом доступе на github или bitbucket, если такие есть просьба присылать вместе с откликом. Условия: - молодой коллектив единомышленников; - оформление по ТК РФ; - график работы 5/2, суббота-воскресенье - выходной день."," - Знание PHP версий 7.*; - Опыт работы SQL, NoSQL; - Docker; - Понимание принципов работы JS в современных браузерах; - Понимание модели MVC; - Опыт работы с одним из фреймворков Symfony, Laravel, Yii; - Знание REST и SOAP; - Знание Git; - Чтение и рефакторинг чужого кода. Будет плюсом: - Опыт работы с не реляционными данными и системами управления ими; - Знание CI/СD (Jenkins, GitLab), microservices; - Знание Unit tests; - Выполненные проекты в открытом доступе на github или bitbucket, если такие есть просьба присылать вместе с откликом. "," - Разработка биллинговой системы; - Анализ требований, документации по смежным системам; - Разработка архитектуры, логики; - Поиск, тестирование решений; - Интеграция со смежными системами; - Декомпозиция задач; - Планирование сроков; - Документирование, поддержка создаваемого кода. "," - молодой коллектив единомышленников; - оформление по ТК РФ; - график работы 5/2, суббота-воскресенье - выходной день.",Без ключевых навыков,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
153,153,backend,Новосибирск,60000.0,100000.0,Сеть магазинов зоотоваров Мокрый нос,2019-10-21T15:12:06+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Друзья, наша команда разработчиков в связи с расширением ищет Middle Разработчика PHP. Компания «Мокрый нос» сегодня – это лидер розничных продаж товаров для животных. Мы любим животных и дорожим нашими Любимыми покупателями. Мы стремительно растем, внедряя новые технологии и поддерживая высокое качество сервиса в магазинах. Мы - сеть розничных магазинов, все бизнес процессы заведены в ERP систему, которую разработали сами. Распределительный центр, интернет-магазин, 58 магазинов и более 50 сотрудников офиса работают в ней (логистика, снабжение, кассовые модули, call-центр и все остальное). О задачах: перед нашей командой разработки стоят актуальные задачи по разработке функционала сайта, расширению функционала ERP sys, разработке сервисов, приложений, реализации взаимодействия со сторонними API. Более подробно и развернуто расскажем при встрече в офисе. О вознаграждении: возможная зарплата ограничена только вашими навыками и стремлением к развитию. Задачи: Разработка функционала сайта и его поддержка; Проектирование и разработка сервисов и приложений корпоративной ERP системы; Проектирование базы данных; Поддержка существующих проектов; Работа со сторонними API. Требования: Знание php7 Знание ООП и умение применять его на практике; Опыт работы с Yii/Yii2; Знание SQL (Postgresql); Опыт работы с GIT; Html, css, js; Дополнительным плюсом будет: опыт работы с jquery; знание Linux; опыт тестирования; опыт работы с Bootstrap; опыт unit тестирования. Условия: Перспективный проект и возможность карьерного роста; Много интересных задач; Возможность самореализации; Официальное трудоустройство; Современный и очень уютный офис."," Знание php7 Знание ООП и умение применять его на практике; Опыт работы с Yii/Yii2; Знание SQL (Postgresql); Опыт работы с GIT; Html, css, js; Дополнительным плюсом будет: опыт работы с jquery; знание Linux; опыт тестирования; опыт работы с Bootstrap; опыт unit тестирования. ",Без обязанностей, Перспективный проект и возможность карьерного роста; Много интересных задач; Возможность самореализации; Официальное трудоустройство; Современный и очень уютный офис.,Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1092,1092,backend,Самара,60000.0,100000.0,Demis Group,2019-10-14T15:31:31+0300,От 3 до 6 лет,Полный день,Полная занятость,"Вакансия открыта в страховой компании АО &quot;СК &quot;Астро-Волга&quot;, входящей в состав группы компаний Demis Group. СК «Астро-Волга» - страховая IT-компания. Мы являемся старейшим страховым частным брендом, стабильно работающим с 1990 года. По данным рейтингового агентства «Эксперт РА» (RAEX) рейтинг «СК «Астро-Волга» на уровне ruBB. По рейтингу установлен стабильный прогноз, что означает высокую вероятность сохранения рейтинга на прежнем уровне в среднесрочной перспективе. На данный момент мы активно развиваем IT-направление нашей компании. Будем рады людям с активной жизненной позицией, способных усилить нашу команду. Обязанности: Решение задач по разработке бэкенда (PHP7 Symfony/Laravel, ORM Doctrine2, MariaDB, PostgreSQL) Интеграция с 1С и другими системами (SOAP, REST, web hooks и пр.) Общие требования: Коммуникабельность, самостоятельность, ответственность Умение ориентироваться в чужом коде и продолжать его разработку Желание развиваться Профессиональные требования: опыт PHP программирования от 3-х лет понимание основных принципов ООП Опыт работы с MVC-фреймворками (Symfony, Laravel или др.) ведение проектов и контроль версий в Git Будет плюсом: навыки работы с Docker опыт командной работы Мы предлагаем: Гибкий рабочий график при 5-дневной рабочей неделе (суббота и воскресенье — выходные дни) Уютный офис, амбициозные задачи, свободу мнений и работу на результат Возможность реактивного роста и развития Индивидуальную систему мотивации Трудоустройство согласно законодательству РФ",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.2333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
512,512,backend,Челябинск,65000.0,75000.0,ProAnalytics,2019-10-02T08:46:59+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания ProAnalytics в связи с растущим объемом работ приглашает в свою команду опытного программиста РНР. Зарплата достойная в зависимости от опыта и навыков. Обязанности: Поддержка и развитие собственного проекта, включающего масштабный сбор информации в Сети. Разработка API, интеграция с внешними и внутренними сервисами. Требования: Отличное владение PHP, понимание и использование принципов ООП Понимание принципов работы протоколов TCP/IP, HTTP, TLS Знание основ вёрстки Опыт работы с MySQL Навыки работы с Git Опыт работы с Linux Знание основ JavaScript будет плюсом. Условия: Официальное трудоустройство. Зарплата в зависимости от квалификации (обсуждается на собеседовании). Работа в большом и уютном офисе. Современное &quot;железо&quot; и комфортное рабочее место. Возможность получить опыт в проектировании и разработке высоконагруженных систем. Оплата посещения конференций и профильных курсов. Корпоративные мероприятия, занятия спортом: волейбол, настольный теннис."," Отличное владение PHP, понимание и использование принципов ООП Понимание принципов работы протоколов TCP/IP, HTTP, TLS Знание основ вёрстки Опыт работы с MySQL Навыки работы с Git Опыт работы с Linux Знание основ JavaScript будет плюсом. "," Поддержка и развитие собственного проекта, включающего масштабный сбор информации в Сети. Разработка API, интеграция с внешними и внутренними сервисами. "," Официальное трудоустройство. Зарплата в зависимости от квалификации (обсуждается на собеседовании). Работа в большом и уютном офисе. Современное &quot;железо&quot; и комфортное рабочее место. Возможность получить опыт в проектировании и разработке высоконагруженных систем. Оплата посещения конференций и профильных курсов. Корпоративные мероприятия, занятия спортом: волейбол, настольный теннис.",PHP|HTML|CSS|TCP/IP|HTTP|TLS|MySQL|ООП|Git|JavaScript,0.6333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
911,911,backend,Екатеринбург,65000.0,90000.0,Spectrum,2019-10-21T10:21:17+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Spectrum – это компания, которая специализируется на автоматической обработке данных. Мы объединяем 4 федеральных сервиса по проверке: автомобилей (https://avtocod.ru), физических лиц (https://checkperson.ru), контрагентов (https://xfirm.ru) и объектов недвижимости (https://egrnreestr.ru). Нашими клиентами являются Яндекс, Mail group, АльфаСтрахование, Газпромнефть, ВСК, Кардиф, Согласие и многие другие. Наша компания активно растет, и мы будем рады единомышленникам, которые готовы к нам присоединиться :) Что мы любим и используем: Микро-сервисную архитектуру – мы не строим &quot;монолиты&quot;, которые сложно поддерживать; Очень любим unit тестирование; Используем docker как для разработки, так и запуска приложений в production; Всё что можно автоматизировать – автоматизируем! Основу нашего стека составляют: PHP 7.2; Laravel &gt;= 5.6; PostgreSQL, Redis; Для каждой конкретной задачи подбираем те инструменты, что лучше всего подходят для её решения. Если чего то не знаешь – покажем, расскажем и поможем разобраться. Ты сам сможешь выбрать ту часть проекта, что для тебя наиболее интересна, и будешь заниматься её развитием. Fullstack, backend или frontend – решение только за тобой! Было бы очень круто, если ты: Ранее работал с Laravel и знаешь как его готовить; Относишься к безопасности приложений на должном уровне; Готов предлагать идеи по оптимизации; Умеешь трезво оценивать сроки реализации задач; Понимаешь, что код пишется для людей, и принципы KISS и SOLID тебе знакомы; Считаешь что код без тестов автоматически превращается в легаси; Имеешь достойный уровень самоорганизации и дисциплины. Со своей стороны предлагаем: Официальное трудоустройство, белую заработную плату; Офис в центре города, гибкое начало рабочего дня; Пересмотр заработной платы по мере твоего роста как специалиста; Занятия английским языком за наш счёт; Оплату посещения конференций и профильных курсов; Современное &quot;железо&quot; и любые необходимые сервисы; Митапы и обучение в команде; Работу по agile-принципам; Unlimited coffee with cookies.",Без требований,Без обязанностей,Без условий,PHP|Linux|Git|Laravel|ООП,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
92,92,backend,Новосибирск,70000.0,90000.0,Сайтсофт,2019-10-20T11:44:23+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания «Сайтсофт» — один из признанных лидеров рынка в области разработки IT-решений для государственных организаций. Компания основана в 2005 году в Екатеринбурге. Наши основные направления деятельности: создание и поддержка интернет-проектов государственных организаций и крупного бизнеса, разработка мобильных приложений, продвижение в социальных сетях. Коллектив компании состоит из более 150 высококвалифицированных специалистов , работающих в офисах Москвы и Екатеринбурга. С чем работать? Высоконагруженные порталы (более 1 млн посетителей в сутки); информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы); системы документооборота и медиахранилищ; бэкенды для мобильных приложений; интеграция и поддержка сторонних решений. Наш стек технологий: PHP 7+, JavaScript(+ES6), Golang; Elasticsearch/ELK, MySQL, PostgreSQL, Cassandra; CI/CD, Selenium; RabbitMQ, Redis и пр. Frontend-разработка у нас живет отдельно. Используются: ES6, VueJS, webpack / grunt / gulp LESS / SASS / Stylus Требования: опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony; чистый читабельный код; понимание основ оптимизации кода на высоконагруженных проектах; умение читать документацию и разбираться в новых технологиях. Желательно: опыт работы командной разработки; плотное знакомство с фронтендом: JS, VueJS. Со своей стороны предлагаем: современный офис на Коммунистической, 40; гибкий рабочий график с началом работы с 8:00 до 12:00; полностью белая заработная плата. Уровень окладной части обсуждается индивидуально в зависимости от профессиональных компетенций; ежегодная солидная премия по итогам работы; ежегодный пересмотр заработной платы по результатам работы; возможности для профессионального и карьерного развития; качественное планирование вашей работы. Вы будете знать, чем вы будете заниматься через день, неделю, месяц; работа над востребованными продуктами, которыми пользуются миллионы граждан нашей страны. Среди наших проектов: Интернет-портал МВД России Интернет-портал МЧС России ФССП России и множество других Мы НЕ занимаемся разработкой простых коммерческих сайтов, визиток и т.д. Для нас разработка - это множество интеграционных решений, использование современных технологий, высоконагруженные проекты и сложные задачи. Мы понимаем ценность качественного кода и используемых решений и применяем весь спектр технологий для достижения поставленных целей. Мы поощряем инициативность, ответственность, желание развиваться и совершенствоваться. Мы также высоко ценим позитивное мышление и доброжелательность. Наш основной потенциал - это наши сотрудники. Работа в нашей жизни занимает значительное количество времени и мы делаем все для того, чтобы каждый сотрудник чувствовал себя комфортно. Минимум бюрократии - максимум человеческого отношения. Присоединяйтесь!",Без требований,Без обязанностей,Без условий,laravel|php7|Redis|PHP,0.03333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
937,937,backend,Екатеринбург,70000.0,70000.0,Proactivity Group,2019-10-16T14:24:07+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"PHP - разработчик на проект workspace.ru (удаленно) Ищем веб-разработчика для решения интересных задач, связанных с развитием проекта WORKSPACE.ru. Требования: Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). Условия: Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста."," Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). ",Без обязанностей, Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста.,Backbone|1С-Битрикс|ООП|Веб-программирование|JavaScript|PHP|Умение работать в коллективе,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
508,508,backend,Челябинск,70000.0,81111.11111111111,The Transport Hub,2019-10-11T19:22:50+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Работа над проектом с огромными перспективами на международном event рынке. Проект представляет из себя систему управления пассажирским транспортом. Обязанности: Разработка, отладка и рефакторинг кода системы; Разработка лэндингов и сайтов компании Требования: Умение писать и понимать чужой код; Знание PHP, MySQL, JS, JQuery, bootstrap, HTML, CSS; Знание GIT и принципов групповой работы над проектами; Наличие открытого ИП или готовность его зарегистрировать; Английский на уровне не ниже чтения документации и понимания видеоуроков на английском; Дополнительные пожелания к соискателю: Программирование в ООП стиле; Применение компонентного подхода; Использование сборщика front-end (gulp + babel / webpack); symfony; REST API; Условия: Работа полностью удаленная. Заключение договора с ИП; Постановка задач в trello; Приложение мониторинга рабочего времени (bitcop.ru). Эта вакансия для Вас, если помимо всего перечисленного выше: Вы готовы отдавать работе не менее 7 часов в сутки 5 дней в неделю; Вы умеете достигать цель, не считая времени, чтобы решить задачу до наступления дедлайна; Вы болеете проектом в котором принимаете участие; Вы готовы работать только над этим проектом, не отвлекаясь на другие; Вы готовы расти и брать на себя ответственность Перспективы: Проект является стартапом, но уже есть крупные клиенты, именно поэтому мы ищем не просто программиста, а человека, который за короткое время изучит систему и в будет готов стать тимлидом и возглавить группу разработчиков в случае необходимости. Проект долгосрочный и предполагает карьерный рост и развитие вместе с компанией."," Умение писать и понимать чужой код; Знание PHP, MySQL, JS, JQuery, bootstrap, HTML, CSS; Знание GIT и принципов групповой работы над проектами; Наличие открытого ИП или готовность его зарегистрировать; Английский на уровне не ниже чтения документации и понимания видеоуроков на английском; Дополнительные пожелания к соискателю: Программирование в ООП стиле; Применение компонентного подхода; Использование сборщика front-end (gulp + babel / webpack); symfony; REST API; "," Разработка, отладка и рефакторинг кода системы; Разработка лэндингов и сайтов компании "," Работа полностью удаленная. Заключение договора с ИП; Постановка задач в trello; Приложение мониторинга рабочего времени (bitcop.ru). Эта вакансия для Вас, если помимо всего перечисленного выше: Вы готовы отдавать работе не менее 7 часов в сутки 5 дней в неделю; Вы умеете достигать цель, не считая времени, чтобы решить задачу до наступления дедлайна; Вы болеете проектом в котором принимаете участие; Вы готовы работать только над этим проектом, не отвлекаясь на другие; Вы готовы расти и брать на себя ответственность Перспективы: Проект является стартапом, но уже есть крупные клиенты, именно поэтому мы ищем не просто программиста, а человека, который за короткое время изучит систему и в будет готов стать тимлидом и возглавить группу разработчиков в случае необходимости. Проект долгосрочный и предполагает карьерный рост и развитие вместе с компанией.",MySQL|JavaScript|jQuery|HTML|Git|js|PHP|CSS|HTML5|Веб-программирование|web,0.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
71,71,backend,Новосибирск,70000.0,70000.0,Proactivity Group,2019-10-16T14:22:32+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Ищем веб-разработчика для решения интересных задач, связанных с развитием проекта WORKSPACE.ru. Требования: Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). Условия: Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста."," Уверенное знание PHP Опыт работы с СУБД Уверенное знание JavaScript (jQuery, AJAX); Уверенное знание «1C-Битрикс»; Умение работать с чужим кодом, аккуратность при написании кода и адекватное восприятие критики Желание и умение работать в команде Большим плюсом будут являться: PHP 7.1+, MySQL Опыт использования Backbone.js, React.JS. Опыт работы со сборщиками Gulp, Webpack Опыт работы с различными CMS, преимущественно 1С-Битрикс. Опыт работы с ядром битрикса d6+ и опыт разработки собственных компонентов Обязанности: Разработка нового функционала для проекта workspace.ru, а так же поддержка и доработка существующего (в частности написание/доработка back-end и front-end логики). ",Без обязанностей, Молодой веселый коллектив профессионалов. Рабочий день понедельник-пятница. Заработная плата по результатам собеседования. Хорошие возможности для карьерного и финансового роста.,Backbone|1С-Битрикс|ООП|Веб-программирование|JavaScript|PHP|Умение работать в коллективе,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
