,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
1109,1109,"senior nodejs разработчик (react, vue), москва",Самара,,300000.0,DriverPack Solution,2019-09-27T18:57:30+0300,Более 6 лет,Полный день,Полная занятость,"Привет! Меня зовут Артур Кузяков. Я фаундер компании DriverPack — это самое знаменитое приложение для настройки компьютеров в один клик. 60млн+ юзеров, используют DriverPack. Но… драйверы это скучно... Поэтому сегодня я собираю команду под новый, уникальный продукт для европейского рынка. Расскажу подробнее, когда придешь на собеседование! :-) Кого ищу? Fullstack разработчиков на NodeJS, React, Vue. Почему работать в DriverPack — круто: У нас много классных задач, выполняя которые ты будешь расти, они тебя будут челенджить постоянно. У нас не получится «кодить ради кода», придётся постоянно думать головой, что реально ты делаешь и зачем. Мы всё время думаем, как &quot;хакнуть систему&quot;, чтобы достичь того же результата, но сильно быстрее? У нас принято, чтобы разработчики влияли на то, в какую сторону будет развиваться продукт. А для этого поэтому, например, у нас все разработчики шарят в продуктовых метриках, маркетинге, аналитике и всяких таких штуках. Мы и тебя научим. 1. Наши разработчики влияют на наш продукт. Каждой задаче мы задаем вопросы: Понимаю ли я зачем мы делаем задачу? Согласен ли я что нужно ее делать? Есть ли другие решения задачи? Не делаем, если сомневаемся. Делаем только самое важное. Выкидываем «улучшательства», если их сложно делать. 2. Задачи описаны четко и понятно. Устал от однострочных описаний “сделай по макету”? В DriverPack такого нет. Каждая задача описывает проблему. После этого: Обсуждаем командой программистов и вырабатываем решение и оценку. Задача не попадает в разработку, пока не понятно как ее делать. 3. Мы на острие технологий: Наш стек: Node.JS, React, Babel, Vue, Redux, Gulp, Koa.js, NW.js, ElectronJS, Webpack, ES6 Базы данных: MongoDB, SQLite, PostgreSQL, MySQL, Redis, Memcached Серверные технологии: Docker, Ansible, Kuberhetes, HAProxy, Zabbix, Sentry, Jenkins, nagios, CDN, Nginx, Apache WebTorrent для уменьшения нагрузки на CDN и повышения отказаустоичивости Продуктовые методологии и подходы: AARRR, ARPU, ARPPU, Retention, LTV, CPA, StoryMapping, DesignThinking, HADI, JTBD, User Stories, CJM (Customer Journey Map) Можно перечислить ещё много разных штук, которые показывают, что мы крутые… но думаю, что этого пока хватит :-) 4. Мы за простые решения: Упрощать здорово. Усложняй, только если это оправданно. Используй сторонние решения. Не пиши велосипеды. Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо. Почему, работа в DriverPack, тебе может не подойти: Если ты часто употребляешь фразы «Это нереализуемо» или «Это невозможно». Не бросаемся использовать новые хайповые технологии. Потому что для нас программирование это всего лишь один из инструментов, при помощи которого мы создаём самые лучшие продукты. Ты не переносишь Legacy код. Проекту, всё таки, 10 лет ;) Есть legacy части, которые нет смысла и желания переписывать. Ты перфекционист и делаешь идеальные решения долго и упорно. Что дальше: Откликайся на вакансию в HH Заполни тестовое задание Если ок, то пообщаемся лично.",,,,
553,553,"senior nodejs разработчик (react, vue), москва",Челябинск,,300000.0,DriverPack Solution,2019-09-27T18:57:43+0300,Более 6 лет,Полный день,Полная занятость,"Привет! Меня зовут Артур Кузяков. Я фаундер компании DriverPack — это самое знаменитое приложение для настройки компьютеров в один клик. 60млн+ юзеров, используют DriverPack. Но… драйверы это скучно... Поэтому сегодня я собираю команду под новый, уникальный продукт для европейского рынка. Расскажу подробнее, когда придешь на собеседование! :-) Кого ищу? Fullstack разработчиков на NodeJS, React, Vue. Почему работать в DriverPack — круто: У нас много классных задач, выполняя которые ты будешь расти, они тебя будут челенджить постоянно. У нас не получится «кодить ради кода», придётся постоянно думать головой, что реально ты делаешь и зачем. Мы всё время думаем, как &quot;хакнуть систему&quot;, чтобы достичь того же результата, но сильно быстрее? У нас принято, чтобы разработчики влияли на то, в какую сторону будет развиваться продукт. А для этого поэтому, например, у нас все разработчики шарят в продуктовых метриках, маркетинге, аналитике и всяких таких штуках. Мы и тебя научим. 1. Наши разработчики влияют на наш продукт. Каждой задаче мы задаем вопросы: Понимаю ли я зачем мы делаем задачу? Согласен ли я что нужно ее делать? Есть ли другие решения задачи? Не делаем, если сомневаемся. Делаем только самое важное. Выкидываем «улучшательства», если их сложно делать. 2. Задачи описаны четко и понятно. Устал от однострочных описаний “сделай по макету”? В DriverPack такого нет. Каждая задача описывает проблему. После этого: Обсуждаем командой программистов и вырабатываем решение и оценку. Задача не попадает в разработку, пока не понятно как ее делать. 3. Мы на острие технологий: Наш стек: Node.JS, React, Babel, Vue, Redux, Gulp, Koa.js, NW.js, ElectronJS, Webpack, ES6 Базы данных: MongoDB, SQLite, PostgreSQL, MySQL, Redis, Memcached Серверные технологии: Docker, Ansible, Kuberhetes, HAProxy, Zabbix, Sentry, Jenkins, nagios, CDN, Nginx, Apache WebTorrent для уменьшения нагрузки на CDN и повышения отказаустоичивости Продуктовые методологии и подходы: AARRR, ARPU, ARPPU, Retention, LTV, CPA, StoryMapping, DesignThinking, HADI, JTBD, User Stories, CJM (Customer Journey Map) Можно перечислить ещё много разных штук, которые показывают, что мы крутые… но думаю, что этого пока хватит :-) 4. Мы за простые решения: Упрощать здорово. Усложняй, только если это оправданно. Используй сторонние решения. Не пиши велосипеды. Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо. Почему, работа в DriverPack, тебе может не подойти: Если ты часто употребляешь фразы «Это нереализуемо» или «Это невозможно». Не бросаемся использовать новые хайповые технологии. Потому что для нас программирование это всего лишь один из инструментов, при помощи которого мы создаём самые лучшие продукты. Ты не переносишь Legacy код. Проекту, всё таки, 10 лет ;) Есть legacy части, которые нет смысла и желания переписывать. Ты перфекционист и делаешь идеальные решения долго и упорно. Что дальше: Откликайся на вакансию в HH Заполни тестовое задание Если ок, то пообщаемся лично.",,,,
