,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
172,172,"php разработчик (лимасол, кипр)",Новосибирск,238000.0,,Wisebits,2019-09-25T11:41:48+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы создаём высоконагруженный продукт в области видео развлечений. Куча трафа, борьба за сроки, современный офис с видом на море и горы. Пишем на PHP7 + Yii2, данные храним в PostgreSQL, для аналитики используем ClickHouse, активно ищем через Sphinx, не чураемся Redis\Memcache Ищем опытного PHP разработчика , который сможет присоединиться к нашей профессиональной (но совсем не занудной) команде. Мы работаем для десятков миллионов пользователей и используем передовые технологии. Если вы мечтаете о профессиональном росте и теплом климате, ждем ваше резюме! :) Наши ожидания: PHP 7.* - у нас нет легаси; Yii2 - большой практический опыт, знание особенностей, минусов и плюсов; PostgreSQL - практический опыт проектирования и оптимизации под нагрузки; Свободная работа в командной строке (Ubuntu); Опыт разработки сложных (!) приложений работающих под большой нагрузкой; Практический опыт принятия архитектурных решений в зависимости от продуктовой задачи; Умение видеть за границами конкретной задачи и планировать архитектуру \ функционал превентивно; Большой опыт code review и командной работы с другими разработчиками; Тесты – понимание, зачем они нужны, умение и желание их писать; Отладка, профилирование, оптимизация PHP кода – практический опыт; ClickHouse, Sphinx, Redis – будет плюсом; JS, HTML, CSS – фронтом заниматься НЕ придётся, но базово разбираться нужно; Интеграция сторонних API, платежных систем, опыт разработки финансовых сервисов – будет весомым плюсом; Go – будет весомым плюсом; Docker – будет плюсом; Умение самостоятельно решать поставленные задачи; Готовность работать в условиях нечётких и меняющихся требований; Что мы предлагаем: Отсутствие дресс-кода и бюрократии; Дружная интернациональная команда; Отличные обеды в офисе за счёт компании (шведский стол); Апартаменты на первый месяц за наш счет; Всегда полные корзины фруктов, шоколада, орехов и прочего вкусного на кухнях в офисе; Медицинская страховка по всему миру для Вас и Вашей семьи; Оплата авиабилетов до Кипра, помощь с переездом семьи из любого региона России и Европы; Полностью белый оклад: от 3400€ в месяц на руки (с возможностью роста в будущем);",,,,Yii2|PHP|PostgreSQL|PHP7|JavaScript|Redis|HTML|HTML5|CSS|Sphinx
830,830,"php разработчик (лимасол, кипр)",Екатеринбург,238000.0,,Wisebits,2019-09-25T11:41:48+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы создаём высоконагруженный продукт в области видео развлечений. Куча трафа, борьба за сроки, современный офис с видом на море и горы. Пишем на PHP7 + Yii2, данные храним в PostgreSQL, для аналитики используем ClickHouse, активно ищем через Sphinx, не чураемся Redis\Memcache Ищем опытного PHP разработчика , который сможет присоединиться к нашей профессиональной (но совсем не занудной) команде. Мы работаем для десятков миллионов пользователей и используем передовые технологии. Если вы мечтаете о профессиональном росте и теплом климате, ждем ваше резюме! :) Наши ожидания: PHP 7.* - у нас нет легаси; Yii2 - большой практический опыт, знание особенностей, минусов и плюсов; PostgreSQL - практический опыт проектирования и оптимизации под нагрузки; Свободная работа в командной строке (Ubuntu); Опыт разработки сложных (!) приложений работающих под большой нагрузкой; Практический опыт принятия архитектурных решений в зависимости от продуктовой задачи; Умение видеть за границами конкретной задачи и планировать архитектуру \ функционал превентивно; Большой опыт code review и командной работы с другими разработчиками; Тесты – понимание, зачем они нужны, умение и желание их писать; Отладка, профилирование, оптимизация PHP кода – практический опыт; ClickHouse, Sphinx, Redis – будет плюсом; JS, HTML, CSS – фронтом заниматься НЕ придётся, но базово разбираться нужно; Интеграция сторонних API, платежных систем, опыт разработки финансовых сервисов – будет весомым плюсом; Go – будет весомым плюсом; Docker – будет плюсом; Умение самостоятельно решать поставленные задачи; Готовность работать в условиях нечётких и меняющихся требований; Что мы предлагаем: Отсутствие дресс-кода и бюрократии; Дружная интернациональная команда; Отличные обеды в офисе за счёт компании (шведский стол); Апартаменты на первый месяц за наш счет; Всегда полные корзины фруктов, шоколада, орехов и прочего вкусного на кухнях в офисе; Медицинская страховка по всему миру для Вас и Вашей семьи; Оплата авиабилетов до Кипра, помощь с переездом семьи из любого региона России и Европы; Полностью белый оклад: от 3400€ в месяц на руки (с возможностью роста в будущем);",,,,Yii2|PHP|PostgreSQL|PHP7|JavaScript|Redis|HTML|HTML5|CSS|Sphinx
713,713,"php разработчик (лимасол, кипр)",Челябинск,238000.0,,Wisebits,2019-09-25T11:41:48+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы создаём высоконагруженный продукт в области видео развлечений. Куча трафа, борьба за сроки, современный офис с видом на море и горы. Пишем на PHP7 + Yii2, данные храним в PostgreSQL, для аналитики используем ClickHouse, активно ищем через Sphinx, не чураемся Redis\Memcache Ищем опытного PHP разработчика , который сможет присоединиться к нашей профессиональной (но совсем не занудной) команде. Мы работаем для десятков миллионов пользователей и используем передовые технологии. Если вы мечтаете о профессиональном росте и теплом климате, ждем ваше резюме! :) Наши ожидания: PHP 7.* - у нас нет легаси; Yii2 - большой практический опыт, знание особенностей, минусов и плюсов; PostgreSQL - практический опыт проектирования и оптимизации под нагрузки; Свободная работа в командной строке (Ubuntu); Опыт разработки сложных (!) приложений работающих под большой нагрузкой; Практический опыт принятия архитектурных решений в зависимости от продуктовой задачи; Умение видеть за границами конкретной задачи и планировать архитектуру \ функционал превентивно; Большой опыт code review и командной работы с другими разработчиками; Тесты – понимание, зачем они нужны, умение и желание их писать; Отладка, профилирование, оптимизация PHP кода – практический опыт; ClickHouse, Sphinx, Redis – будет плюсом; JS, HTML, CSS – фронтом заниматься НЕ придётся, но базово разбираться нужно; Интеграция сторонних API, платежных систем, опыт разработки финансовых сервисов – будет весомым плюсом; Go – будет весомым плюсом; Docker – будет плюсом; Умение самостоятельно решать поставленные задачи; Готовность работать в условиях нечётких и меняющихся требований; Что мы предлагаем: Отсутствие дресс-кода и бюрократии; Дружная интернациональная команда; Отличные обеды в офисе за счёт компании (шведский стол); Апартаменты на первый месяц за наш счет; Всегда полные корзины фруктов, шоколада, орехов и прочего вкусного на кухнях в офисе; Медицинская страховка по всему миру для Вас и Вашей семьи; Оплата авиабилетов до Кипра, помощь с переездом семьи из любого региона России и Европы; Полностью белый оклад: от 3400€ в месяц на руки (с возможностью роста в будущем);",,,,Yii2|PHP|PostgreSQL|PHP7|JavaScript|Redis|HTML|HTML5|CSS|Sphinx
