,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
851,851,python разработчик,Екатеринбург,70000.0,110000.0,Очень Интересно,2019-10-16T17:34:29+0300,От 3 до 6 лет,Полный день,Полная занятость,"Ищем разработчика веб-приложений на Python. Про нас: У нас работают и общаются талантливые разработчики, опытные архитекторы и проектировщики, рациональные менеджеры, дизайнеры, инженеры, тестировщики, использующие современные технологии в создаваемых с нуля проектах. Мы решаем нетривиальные задачи, которые позже переезжают жить на Amazon AWS / Azure / Google Apps при помощи нашей блистательной DevOps-команды. Мы живем в разных странах, городах и часовых поясах, но совместно работаем над VR (Virtual Reality), AR (Augmented Reality), IoT (Internet of Things), веб-проектами и мобильными приложениями, Unity Gaming, Enterprise бизнес-приложениями. Мы профессионально говорим на разных языках - русском, английском, немецком, китайском, вьетнамском, фарси и ”в совершенстве” на Python, С#, PHP, Objective-C, JavaScript (React, Vue.js, Angular), Java, Swift. Мы находимся на трех континентах (Европа, Азия, Америка) и постоянно путешествуем между ними, по работе и просто так. Особое внимание мы уделяем таким вещам как, возможность самореализации и взаимодействия в команде. Важно, чтобы работа приносила удовольствие! Про вас: Отлично понимаете Python3, Python Internals, структуры и алгоритмы, шаблоны проектирования. Предлагаете обдуманные и аргументированные решения и реализуете их с минимумом багов (или вообще без них)! Планируете свое решение, прежде чем написать первую строчку кода. Умеете тестировать свой собственный и чужой код (unit tests, integration tests, manual tests). Понимаете, что такое сложность алгоритмов по O-нотации. Плюсом будет: Django &amp; Django Rest Framework. Оптимизация и профилирование Python кода. Профилирование SQL / NoSQL запросов (explain - ваш лучший друг!). Опыт работы с Vue (or React/Angular). Хорошее понимание Frontend технологий: CSS3 / HTML / JavaScript / Webpack. Опыт или интерес к работе с другими языками (Scala, Go, C). Интерес к проектированию API / DB / Mobile apps. Опыт работы и реализации real-time сервисов и приложений. Опыт работы с Hadoop / HBase / Storm / Kafka / Spark / MapReduce. TDD. Умение общаться с другими разработчиками и анализировать собственные предлагаемые варианты решения (и идеи) с точки зрения ROI (Return on Investment) - большой плюс! Какие задачи решать: Создание API, Backend для мобильных, веб- и IoT- приложений. Event stream processing (Kafka / Storm / Spark) и аналитика в реальном времени. Разработка новых приложений и проектов. Работа с проектами, которые уже живут в production и где растет количество пользователей, трафик, базы данных и нагрузка на инфраструктуру. С чем работать: Python3 / Django / Django Rest Framework. PostgreSQL / MongoDB / DynamoDB / Redis / RabbitMQ. Apache Kafka / Storm / Spark, Map/Reduce. Amazon AWS (EC2, SQS, SNS, ELB, ECS, RDS, S3, DynamoDB). Google Cloud. Unit tests. Docker. Git / Linters / Jenkins / Upsource. JavaScript apps (Vue.js). Linux preferred (Mac is fine as well. No Windows :). Мы ценим: Как красивый код, так и минимум кода. Понятный код, который покрыт тестами и содержит детальные комментарии. Разработчиков, увеличивающих объем знаний и опыт команды. Тех, кто не боится ответственности и работает на результат. Разработчиков, не требующих микроменеджмента и постоянного мониторинга. Людей, которые сказали, что все будет сделано в среду, и финишировали во вторник. Документацию, которая обновляется (и тех, кто над ней работает). Чувство юмора ) Мы предлагаем: Официальное трудоустройство и “белую” заработную плату. Лояльный график работы: гибкое начало и окончание дня, возможность работать удаленно по пятницам. Офис в центре города в шаговой доступности от метро и с доступом к любому виду транспорта (бизнес-центр ЦМТЕ). Ежегодное Performance Review. Прозрачные процессы в компании и гибкий менеджмент. Работу над международными проектами в разных сферах. Занятия английским языком за счет компании. Частичную компенсацию спорта (фитнес, бассейн, волейбол, танцы и пр.). Команду, которая всегда готова поддержать, объяснить непонятное и просто пообщаться. Спортивные тимбилдинги и корпоративные мероприятия. Традиционную пиццу в офисе по четвергам (наша традиция :) ) Зону отдыха с кикером и Playstation 4.",,,,Python|Django Rest Framework|Django
925,925,python разработчик,Екатеринбург,95000.0,,Ingate,2019-10-17T10:45:19+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания Ingate в поисках Python разработчика Холдинг Ingate входит в тройку российских лидеров в сфере интернет-маркетинга и информационных технологий. Уже более 18 лет наша компания предоставляет качественные услуги и использует новейшие методы в области поискового продвижения, рекламы в социальных сетях и интернет-маркетинга для компаний и брендов с мировым именем. В штате холдинга работает более 700 профессионалов. Компания имеет 3 офиса: в Москве, Санкт-Петербурге, и головной – в Туле. Обязанности: Проектирование и реализация программных систем Доработка, отладка и оптимизация существующих программ Анализ и решение сложных технических проблем Требования: Знание Python и опыт разработки на нем от 2 лет Желательно знание базовых структур данных и операций над ними Желателен опыт работы с Django, Tornado, Flask, Falcon Условия: Рассматриваем вариант удаленного сотрудничества. Также возможна работа в любом из 3х офисов компании - Тула (в случае готовности к переезду, помогаем со съемом жилья - оплачиваем первые три месяца), Москва и Санкт-Петербург ЗП: 70 000 фикс оклад + премия за КPI (от 30 000) - на период исп. срока 3 месяца и основной период – принцип расчета оклада и бонуса не меняется. Стабильная, надёжная ИТ-компания (18 лет на рынке), лидеры рынка (в тройке в сфере интернет-маркетинга в России). Прогрессивные технологии, гибкое и разумное применение основного и дополнительного стека и методологии Agile. Интересные, сложные, востребованные на рынке проекты (высоконагруженные интернет-сервисы для продвижения в поиске и не только). Самодостаточные команды: программисты, разработчики, тим-лиды, тестировщики, проектировщики интерфейсов, менеджеры проектов – весь необходимый набор спецов. Система грейдов внутри отдела, индивидуальные планы развития сотрудников, наставничество, возможность вырасти до ведущего разработчика (120-130 000 руб) и далее до архитектора. Обучение за счет компании (наша собственная программа развития сотрудников + внешнее обучение). Ждем тебя в нашей команде!"," Знание Python и опыт разработки на нем от 2 лет Желательно знание базовых структур данных и операций над ними Желателен опыт работы с Django, Tornado, Flask, Falcon "," Проектирование и реализация программных систем Доработка, отладка и оптимизация существующих программ Анализ и решение сложных технических проблем "," Рассматриваем вариант удаленного сотрудничества. Также возможна работа в любом из 3х офисов компании - Тула (в случае готовности к переезду, помогаем со съемом жилья - оплачиваем первые три месяца), Москва и Санкт-Петербург ЗП: 70 000 фикс оклад + премия за КPI (от 30 000) - на период исп. срока 3 месяца и основной период – принцип расчета оклада и бонуса не меняется. Стабильная, надёжная ИТ-компания (18 лет на рынке), лидеры рынка (в тройке в сфере интернет-маркетинга в России). Прогрессивные технологии, гибкое и разумное применение основного и дополнительного стека и методологии Agile. Интересные, сложные, востребованные на рынке проекты (высоконагруженные интернет-сервисы для продвижения в поиске и не только). Самодостаточные команды: программисты, разработчики, тим-лиды, тестировщики, проектировщики интерфейсов, менеджеры проектов – весь необходимый набор спецов. Система грейдов внутри отдела, индивидуальные планы развития сотрудников, наставничество, возможность вырасти до ведущего разработчика (120-130 000 руб) и далее до архитектора. Обучение за счет компании (наша собственная программа развития сотрудников + внешнее обучение). Ждем тебя в нашей команде!",
307,307,python разработчик,Краснодар,,,"МАГНИТ, Розничная сеть",2019-10-09T14:36:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О нас : Магнит - крупнейшая розничная сеть в России, с более чем 20тилетней историей Наш Центральный офис расположен в Краснодаре. 250 солнечных дней в году, близость моря и гор, развитая инфраструктура, высокая бизнес-активность – причины, по которым Краснодар неоднократно признавался лучшим городом для жизни в России. Мы предлагаем: Трудоустройство по ТК РФ, конкурентоспособную, полностью &quot;белую&quot; заработную плату, а также гарантируем её своевременную выплату. Заработная плата складывается из: оклада и премии. График работы с 08:00 до 17:00, 5-дневная рабочая неделя. Мы вкладываем ресурсы в развитие, поэтому у нас организовано корпоративное обучение, и есть реальная возможность профессионального и карьерного роста в Компании. Карту лояльности Магнит - Дисконт, которая дает широкие возможности получения скидок в компаниях партнеров по различным направлениям. Ключевые обязанности : Разработка клиентов приема-передачи данных на основе языка Python; Разработка клиентской части сервисов и приложений; Разработка среднего слоя приложений на языке Python; Поддержка, интеграция, оптимизация существующих приложений и сервисов; Ожидания от кандидатов : Опыт разработки от 0,5 года; Уверенное знание и опыт применения Python (Django, Flask и пр.); Хорошее знание JavaScript, HTML, CSS; Знание SQL; Опыт работы с MS SQL ; Ответственность, внимательность, способность работать в команде, способность работать под давлением времени, стремление к профессиональному развитию. Мы стремимся создавать лучшие условия для работы и отдыха, поэтому наше рабочее пространство включает: Оснащенные всем необходимым рабочие места (опен-спейс, опен-спейс с целевой дислокацией, персональные кабинеты для руководителей). Комфортные переговорные комнаты и несколько модернизированных конференц-залов. 2 бесплатных спортзала на территории офиса (кардио- и силовые тренажеры, залы для групповых занятий – пилатес, йога, танцы, кросс-фит, степ-аэробика, единборства). Удобную бесплатную общую автостоянку. Большую закрытую велопарковку. Открытую площадку с зоной воркаута, футбольное поле и два многофункциональных (теннис/баскетбол/волейбол). Просторную современную столовую, где наши повара с заботой о Вас, готовят вкусные завтраки/обеды и ужины. Для тех, кто предпочитает питаться домашней едой, имеются оборудованные кофе-комнаты в каждом корпусе. На прилегающей к офису территории, на свежем воздухе находятся 2 стильные Кофе-Лавки. Здесь Вы сможете насладиться свежесваренным зерновым кофе и провести обеденный перерыв в чудесной парковой зоне Компании. Мы искренне заботимся о здоровье наших сотрудников, поэтому у нас есть корпоративные медицинские кабинеты. Любой работник ГК может бесплатно получить там специализированную доврачебную помощь или консультацию по состоянию здоровья, принять участие в профилактических мероприятиях, а при необходимости — сделать укол, назначенный лечащим врачом.",,,,Python|JavaScript|ООП|SQL
734,734,python разработчик,Челябинск,,,"DSR, Группа Компаний",2019-10-14T14:18:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Проектирование и разработка программного обеспечения. Требования: Высшее образование (техническое) Уверенные знания Python (желательно - версии 3.x) Знание базовых технологий разработки ПО (структуры данных, ООП, умение решать алгоритмические задачи) Понимание принципов асинхронного и многопоточного программирования Опыт написания автоматизированных тестов Понимание принципов и опыт реализации REST API Опыт разработки под Linux Способность самостоятельно разрабатывать часть программного продукта и взаимодействовать с другими членами команды Разговорный английский уровня не ниже Intermediate Приветствуется: Опыт разработки бэкэнда на Python (aiohttp) Опыт разработки на JavaScript/TypeScript/Node.js Опыт работы в распределённой команде Опыт работы по Agile Способность и готовность обучаться новому Условия: ВАКАНСИЯ АКТУАЛЬНА ДЛЯ ВОРОНЕЖА И ПОДРАЗУМЕВАЕТ РЕЛОКАЦИЮ Достойная стабильная оплата труда, бонусы Оплата сверхурочной работы Постоянная занятость‚ соцпакет Интересная работа‚ хороший коллектив Перспективы роста"," Высшее образование (техническое) Уверенные знания Python (желательно - версии 3.x) Знание базовых технологий разработки ПО (структуры данных, ООП, умение решать алгоритмические задачи) Понимание принципов асинхронного и многопоточного программирования Опыт написания автоматизированных тестов Понимание принципов и опыт реализации REST API Опыт разработки под Linux Способность самостоятельно разрабатывать часть программного продукта и взаимодействовать с другими членами команды Разговорный английский уровня не ниже Intermediate Приветствуется: Опыт разработки бэкэнда на Python (aiohttp) Опыт разработки на JavaScript/TypeScript/Node.js Опыт работы в распределённой команде Опыт работы по Agile Способность и готовность обучаться новому ", Проектирование и разработка программного обеспечения. ," ВАКАНСИЯ АКТУАЛЬНА ДЛЯ ВОРОНЕЖА И ПОДРАЗУМЕВАЕТ РЕЛОКАЦИЮ Достойная стабильная оплата труда, бонусы Оплата сверхурочной работы Постоянная занятость‚ соцпакет Интересная работа‚ хороший коллектив Перспективы роста",Python|JavaScript|Linux
986,986,python разработчик,Екатеринбург,,,NAUMEN,2019-10-21T12:44:18+0300,От 3 до 6 лет,Полный день,Полная занятость,"Naumen – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге». Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры. Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании. * ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT-работодателей России (по версии HeadHunter). Мы ищем Python -разработчика в команду разработки продукта Naumen Contact Center . Naumen Contact Center (ранее Naumen Phone) – полнофункциональное программное решение для построения крупных и средних контактных центров. В состав решения входит коммуникационная платформа с компонентом Omni-Channel, информационная система управления проектами и прогнозирования рабочей нагрузки (WFM), а также автоматизированные рабочие места оператора и супервизора. Нашими клиентами являются: ИнтерРАО ЕС, Спортмастер, Банк Россия, Мосэнергосбыт, Moldtelecom. Платформа Naumen Contact Center включена в глобальный отчет Gartner. Обязанности: поддержка backend компонент Naumen Сontact Сenter; разработка новых функциональных возможностей; разработка новых компонентов. Требования: опыт ежедневной разработки на Python от 2 лет; знание классических алгоритмов и структур данных; умение разбираться в чужом коде; опыт работы с SQLAlchemy; опыт работы с Twisted; опыт администрирования *nix; опыт работы с Git; опыт работы с реляционными базами данных опыт разработки и оптимизации асинхронных многопоточных программ; опыт разработки сетевых приложений; опыт разработки highload решений. Желательно: опыт разработки на C++; В Naumen мы создали все условия для продуктивной и интересной работы: индивидуально обсуждаем с каждым кандидатом зарплатные ожидания; лояльный график работы и минимум бюрократии; работа в команде профессионалов в атмосфере взаимопомощи и поддержки; реальная возможность влиять на развитие и качество продукта; возможность профессионального обучения за счет компании; мы поддерживаем развитие ИТ-сообщества и обмен опытом: участвуем во внешних и внутренних конференциях не только в качестве слушателя, но и в качестве спикера, обучаем школьников и студентам программированию, проводим собственные образовательные программы; практикуем индивидуальное планирование карьеры, Performance Review 2 раза в год (80% ключевых сотрудников компании выросли внутри Naumen); заботимся о здоровье наших сотрудников: ДМС сразу после испытательного срока: посещение специалистов в лучших поликлиниках и стоматологиях города, вызов врача на дом, госпитализация, телемедицина; полис выезжающих за рубеж (покрытие весь мир); вакцинация от гриппа; насыщенная корпоративная жизнь компании: яркие корпоративы, поздравления с календарными и профессиональными праздниками. Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год; поддерживаем любовь к спорту: есть своя волейбольная команда, команды по кикеру, велопрогулки, возможна частичная компенсация занятий спортом, участвуем в Спартакиаде айтишников; современный и комфортный офис (Татищева). В офисе оборудованы комната активного отдыха (настольный теннис, настольный футбол, тренажеры, массажное кресло), душевая кабина. Есть корпоративное кафе, кофе-поинты с разнообразными перекусами. Оборудована велопаркока в подземном паркинге в бизнес-центре.",, поддержка backend компонент Naumen Сontact Сenter; разработка новых функциональных возможностей; разработка новых компонентов. ,,Python|Git|Linux|ООП|SQL
