,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
1047,1047,devops инженер,Новосибирск,55000.0,70000.0,ЭМА,2019-10-14T06:53:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Взаимодействие с командой разработчиков. Автоматизация процессов развертывания инфраструктуры, разработки, тестирования (сборка пакетов, скрипты установки). Исследование новых инфраструктурных компонент (СУБД и пр.) для улучшения существующего ПО. Требования: Высшее техническое образование в области информационных технологий. Знание жизненного цикла разработки ПО. Опыт работы с ОС Linux и ОС Windows. Понимание работы сети. Работа с виртуальными средами. Английский, достаточный для чтения профессиональной литературы. Вашим профессиональным преимуществом будет: Владение языком программирования высокого уровня. Владение языком SQL. Знание инструментария программиста под *nix системы. Условия: Официальное трудоустройство по ТК РФ. Современный офис по линии метро. Работа над интересными проектами. Профессиональный и личностный рост в дружной компании."," Высшее техническое образование в области информационных технологий. Знание жизненного цикла разработки ПО. Опыт работы с ОС Linux и ОС Windows. Понимание работы сети. Работа с виртуальными средами. Английский, достаточный для чтения профессиональной литературы. Вашим профессиональным преимуществом будет: Владение языком программирования высокого уровня. Владение языком SQL. Знание инструментария программиста под *nix системы. "," Взаимодействие с командой разработчиков. Автоматизация процессов развертывания инфраструктуры, разработки, тестирования (сборка пакетов, скрипты установки). Исследование новых инфраструктурных компонент (СУБД и пр.) для улучшения существующего ПО. ", Официальное трудоустройство по ТК РФ. Современный офис по линии метро. Работа над интересными проектами. Профессиональный и личностный рост в дружной компании.,
181,181,devops инженер,Новосибирск,,120000.0,Брокеркредитсервис,2019-09-25T13:16:57+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы занимаемся развитием цифрового брокерского бизнеса, в международной финансовой компании, для наших многочисленных front приложений, мы разрабатываем собственный высоконагруженный backend на микросервисной архитектуре используя один из топовых стеков Java. Предлагаем инициативному профессионалу присоединиться к команде одного из самых крупных проектов для решения задач DevOps инженера. Для нас DevOps инженер в первую очередь участник команды, поэтому мы ожидаем ежедневное участие в daily meetings, обсуждение текущих и будущих задач проекта, предложений по улучшению инфраструктуры и процессов. Ждем от тебя: Отличное знание Linux-подобных систем; Знание сетевых технологий(TCP/IP, HTTP(S), TLS… ); Технологии виртуализации серверов; Docker на продвинутом уровне; Kubernetes\Openshift минимально на базовом уровне; PostgreSQL, MongoDB; GitLab; Скриптовые языки; CI\CD pipeline на GitLab, Jenkins или Bamboo. Будет плюсом: Опыт поддержки Java-приложений; Понимание принципов отказоустойчивости и масштабируемости приложений; Опыт автоматизации задач администрирования внутренних процессов разработки и тестирования; Инструменты управления конфигурацией; Helm charts; RabbitMQ, Kafka; ELK, Grafana, Prometheus. Преимущества работы у нас: Дружная команда профессионалов (разработчики, QA инженеры, аналитики, product owner); Видимый результат работы (фронт приложения проекта публикуются в web, play market, app store); Современное, новое, рабочее место по выбору сотрудника, mac os или ubuntu, с выбором периферии; Обучение, участие в конференциях; Офис в центре города со свежим ремонтом и кухней; Белая заработная плата без задержек.",,,,Linux|Kubernetes|Docker|GitLab
147,147,devops инженер,Новосибирск,,,Сбербанк,2019-09-20T12:05:21+0300,Нет опыта,Полный день,Полная занятость,"DevOps инженер Наша команда обеспечивает сервис по поддержке тестовых стендов автоматизированных систем банка. Мы реализуем решения по автоматизации производственного процесса на этапе continuous deployment (CDl) и сервисы самообслуживания по тестовым стендам. Нашими целями являются повышение надежности и доступности тестовых стендов и полигонов тестирования, сокращение time to market, повышение качества ПО. ЗАДАЧИ: Эксплуатационное сопровождение тестовых сред АС Экспертиза внедрения практик DevOps на этапах CDL, CDP в командах Проведение анализа влияния изменений на эксплуатационные характеристики АС Определение технологических ограничений для проведения внедрения Организация и проведение установки дистрибутивного комплекта релиза АС на стенды для проведения тестирования, ПСИ Проведение оценки необходимости проведения нагрузочного тестирования (НТ), определение цели НТ, принятие результатов НТ Выполнение Запросов на обслуживание, Задач, Регламентных работ Решение инцидентов АС Анализ изменений АС на предмет необходимости изменения элементов мониторинга Осуществление обработки событий мониторинга Проведение разработки и актуализации планов управления мощностями Выявление рисков/проблем в работе АС и организация мероприятий по их устранению/минимизации/принятию Подготовка, настройка и эксплуатационное сопровождение сред и полигонов тестирования и ПСИ Постановка АС на мониторинг Формирование эксплуатационных требований ОЖИДАНИЯ: Эксплуатационное сопровождение тестовых сред АС Экспертиза внедрения практик DevOps на этапах CDL, CDP в командах Проведение анализа влияния изменений на эксплуатационные характеристики АС Определение технологических ограничений для проведения внедрения Организация и проведение установки дистрибутивного комплекта релиза АС на стенды для проведения тестирования, ПСИ Проведение оценки необходимости проведения нагрузочного тестирования (НТ), определение цели НТ, принятие результатов НТ Выполнение Запросов на обслуживание, Задач, Регламентных работ Решение инцидентов АС Анализ изменений АС на предмет необходимости изменения элементов мониторинга Осуществление обработки событий мониторинга Проведение разработки и актуализации планов управления мощностями Выявление рисков/проблем в работе АС и организация мероприятий по их устранению/минимизации/принятию Мы предлагаем: - масштабные и высоконагруженные проекты с использованием новых технологий; - команду профессионалов, готовых поддержать ваши инициативы; - использование Agile-методологии; - возможность обучения и сертификации за счёт компании; -возможность изучения английского языка, не выходя из офиса; - гибкий график; - трудоустройство согласно трудовому кодексу; - оклад плюс премии по результатам работы; - корпоративное обучение; - медицинскую страховку; - материальная поддержка в особых случаях; - скидки на продукты Сбербанка. Размещение офиса: Адрес офиса ул. Советская , БЦ Кронус Про Сбербанк Сбербанк — это современная техническая платформа, создающая новые способы потребления финансовых (и не только) услуг. Мы собираем лучшие технологии и управленческие методы из мировой практики, чтобы превратить «главный» банк России в передовую сервисную экосистему. Если тебе нравится эта идея, присоединяйся к нашей команде. За что сотрудники любят Сбербанк: прогрессивность: да, мы — банк со столетней историей, но одновременно и финтех-стартап с идеями о том, как изменить мир масштаб: внутри одной компании можно развиваться в любом направлении и строить карьеру с любым уровнем амбиций эффект: ты стараешься — и это видят десятки миллионов людей.",,,,Agile Project Management|Оценка рисков|Linux|Английский язык|Управление рисками
396,396,devops инженер,Новосибирск,,,Positive Technologies,2019-10-01T14:59:29+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О компании Positive Technologies – разработчик ПО в сфере информационной безопасности международного уровня. О продукте Мы создаем систему сбора и анализа данных об объектах мира киберугроз: зловредах, ботнетах, хакерских группировках, фишинговых доменах и т.д.. В её задачи входит: Автоматический сбор информации из открытых и коммерческих источников; Регулярное обновление данных об имеющихся сущностях; Анализ, классификация и связывание полученной информации (в перспективе - средствами машинного обучения); Предоставление удобного API другим продуктам для внесения и получения данных; Систему распространения баз данных индикаторов угроз; Предоставление удобного интерфейса сотрудникам отделов реагирования и исследования угроз; Стек основных технологий: Debian, Go, Ansible, Docker, PostgreSQL. Чем предстоит заниматься: Автоматизация деплоя для разных окружений. Мы используем Terraform и Ansible; Разработкой CI/CD pipeline для выпуска продукта; Развитие мониторинга инфраструктурных и бизнес метрик на Prometheus/Grafana/ELK; Разработкой инсталлятора для коробочной версии продукта; Администрирование инфраструктуры: решение возникающих проблем, масштабирование и обеспечение отказоустойчивости, балансировка нагрузки и резервное копирование; Обмен опытом и решениями с инфраструктурными командами соседних проектов с аналогичным стеком технологий; В обозримой перспективе использование облачных площадок для развертывания. Чем НЕ придется заниматься: - Поддержкой общих ресурсов внутри компании (Gitlab, Jira, Confluence, ...) - для этого есть отдельная команда; - Перескакивать с проекта на проект для тушения пожаров - мы ищем кандидата под конкретный продукт. Что необходимо кандидату: Понимать жизненный цикл разработки ПО и принципы CI/CD; Опыт системного администрирования Linux обязателен; Разделять подход “infrastructure as a code”; Опыт работы с системами configuration management Умение писать на bash и, желательно, python; Опыт работы с системами виртуализации; Навык работы с docker, умение упаковывать любой софт в контейнер; Опыт организации мониторинга инфраструктуры. Что взамен: Уютный офис недалеко от м. Площадь Гарина-Михайловского или в Академгородке, возможность удалённой работы обсуждаема; Официальное трудоустройство и белая зарплата; ДМС со стоматологией; Шесть недель оплачиваемого отпуска; Можно самому выбрать, во сколько начинается твой рабочий день.",,,,
803,803,devops инженер,Новосибирск,,,МодульБанк,2019-09-23T08:14:04+0300,От 3 до 6 лет,Полный день,Полная занятость,"Привет! Мы - Modulbank, любимый онлайн банк предпринимателей и стремительно развивающаяся финтех компания . Мы ежедневно меняем представление о банковских услугах и помогаем процветать малому и среднему бизнесу. Мы предлагаем только самые выгодные и точные решения, позволяющие начинающим предпринимателям избежать бумажной волокиты и сконцентрироваться на важном. Помимо крутых услуг и продуктов мы предоставляем клиентам по-настоящему искренний сервис и позиционируем себя как банк с человеческим лицом Ключевые задачи : Администрирование и обеспечение работоспособности программного обеспечения банка: серверные системы Linux (Debian); системы контейнеризации и системы оркестрации Docker, kubernetes; автоматизация процессов связанных с обслуживанием и разработкой ПО. ansible, bash; среды и приложения на dotnet core, dotnet framework; Будет плюсом: Серверные системы Windows Server (2016-2019); Написание скриптов PowerShell; Знание Redis, RabbitMQ, СУБД posgreSQL; Мы подойдем друг другу, если: Релевантный опыт работы от 3 лет; Глубокое знание Linux; Знание docker и kubernetes; Автоматизация регулярно повторяющихся задач (ansible, bash); Настройка высокодоступных систем PostgreSQL, Nginx, NodeJS, IIS; Сопровождение текущей инфраструктуры high-load проектов; Написанием и ведением технической документации; Знание принципов работы сетевых протоколов и принципов построения компьютерных сетей; Взаимодействием с внешними организациями в рамках решаемых задач; Умение выявлять и диагностировать проблемы сетевого и инфраструктурного уровня; Знание принципов DevOPS; Есть опыт поддержки сервисов, работающих 24/7; Мы предлагаем: Работа в крупной стабильной IT-Компании; Уютный офис в шаговой доступности от метро и дружный коллектив; Чай и кофе бесплатно; Возможность карьерного и личностного роста; Оформление по ТК РФ; Конкурентная белая заработная плата; Испытательный срок 3 месяца; Программа ДМС после прохождения испытательного срока, включая стоматологию; Корпоративная библиотека «Манн, Иванов и Фербер» - за наш счет.",,,,
889,889,devops инженер,Новосибирск,,,Студия Разработки,2019-10-11T14:24:13+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"У нас более 30 разных проектов, по которым постоянно разрабатывается новый функционал и производится интеграция с разными сервисами. Один из проектов – это система управления бизнес-процессами на базе микросервисной архитектуры. Интересные задачи: · Установка среды публикации на существующих и новых проектах компании. · Разработка процесса публикации проектов для разработчиков. · Контроль публикации изменений проектов. · Разработка среды тестирования проектов. · Консультирование разработчиков и администраторов системы. Что ждём от кандидата: · Общий опыт разработки - 3+ лет · Настройка репозитория GIT, знания GIT-flow · Разворачивание и настройка любой среды CI/CD (плюсом знание TeamCity) · Умение работать как на новых так и на уже существующих проектах · Docker · OS Windows. Unix · Bash &amp; shell script · Желательно (будут дополнительным плюсом): · MS Build &amp; Deploy, знание архитектуры C# проектов и .NET архитектуры · Опыт работы с MS SQL 2016 · Виртуализация HyperV / VMWare · Опыт администрирования Unix Windows систем, Exchange, Zabbix, HAproxy, RabbitMQ Предлагаем: · Возможность профессионального и карьерного развития в компании. · Официальное трудоустройство согласно ТК РФ с первого дня. · Заработная плата по договоренности · Удаленная работа",,,,
925,925,devops инженер,Новосибирск,,,Тинькофф,2019-09-17T20:33:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Команда Тинькофф ищет продвинутого DevOps инженера в новосибирский центр разработки. Мы переводим свою инфраструктуру на контейнерную архитектуру и внедряем Kubernetes. Ищем человека с системным мышлением, который хочет работать на новом стеке технологий, делать исследования и выбирать оптимальные решение под поставленную задачу. Наша цель создать инфраструктуру, которая удобна в поддержке админам и позволяет командам разработки максимально быстро доставлять изменения нашим пользователям. А это значит удобное логирование и мониторинг микросервисных приложений, высокий уровень автоматизации и отказоустойчивости. Тебе предстоит: Работать с высоконагруженными системами Внедрять Kubernetes в боевых ДЦ Компании Помогать командам разработки мигрировать на новую инфраструктуру Разрабатывать инфраструктурный софт Автоматизировать рутинные операции администрирования Мы ждем от тебя: Опыт системного администрирования ОС Linux Обязательно знание одного из языков Python, Go Понимание принципов контейнеризации (Docker) Понимание принципов непрерывной интеграции От нас: Комфортные условия труда, хорошо оборудованное рабочее место с возможностью выбора любого ПК или ноутбука; Добровольное медицинское страхование (ДМС); Офис в центре города в 10 мин. от м. пл. Ленина в БЦ “Кронос” или Академгородок, ул.Николаева; Компенсация на выбор: обедов, такси, парковочного места; Компенсация 50% на спорт; Скидка 30% на КАСКО в СК Тинькофф; Софинансирование обучения (оплата конференций, курсов)",,,,NoSQL|Big Data|hadoop|Aerospike|MongoDB
