,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
1198,1198,ведущий разработчик c#,Самара,100000.0,,ИК СИБИНТЕК,2019-10-04T14:57:28+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Принимать участие в разработке новых корпоративных приложений. Принимать участие в развитии и поддержке уже существующих приложений. Решать нетривиальные и нестандартные задачи. Требования: Образование: высшее, техническое. Опыт работы с C#; Опыт работы с WinForms, ASP.NET, EntityFramework LINQ; Опыт работы с СУБД (PostgreSQL, MS SQL Server, SQLite, ORACLE); Опыт работы с инструментами командной разработки (SVN, Git, TFS); Опыт анализа и рефакторинга легаси-кода; Опыт участия в разработке архитектуры, модели данных и т.д.; Опыт разработки технической документации; Технический английский язык; Условия: Оформление в соответствии с ТК РФ. Конкурентоспособная заработная плата и годовой бонус. Полис ДМС со стоматологией. Внутреннее и внешнее обучение (корпоративный университет, конференции и тренинги). Корпоративные мероприятия. У нас много задач, мы постоянно расширяем команду и ожидаем, что в ней вырастут свои лидеры! Указанные выше сведения не являются официальным предложением заключения трудового договора, а уведомляют о имеющийся вакансии в штатном расписании, актуальной на момент размещения."," Образование: высшее, техническое. Опыт работы с C#; Опыт работы с WinForms, ASP.NET, EntityFramework LINQ; Опыт работы с СУБД (PostgreSQL, MS SQL Server, SQLite, ORACLE); Опыт работы с инструментами командной разработки (SVN, Git, TFS); Опыт анализа и рефакторинга легаси-кода; Опыт участия в разработке архитектуры, модели данных и т.д.; Опыт разработки технической документации; Технический английский язык; ", Принимать участие в разработке новых корпоративных приложений. Принимать участие в развитии и поддержке уже существующих приложений. Решать нетривиальные и нестандартные задачи. ," Оформление в соответствии с ТК РФ. Конкурентоспособная заработная плата и годовой бонус. Полис ДМС со стоматологией. Внутреннее и внешнее обучение (корпоративный университет, конференции и тренинги). Корпоративные мероприятия. У нас много задач, мы постоянно расширяем команду и ожидаем, что в ней вырастут свои лидеры! Указанные выше сведения не являются официальным предложением заключения трудового договора, а уведомляют о имеющийся вакансии в штатном расписании, актуальной на момент размещения.",C#|ASP.NET|Windows Forms|EntityFramework|LINQ|SQL
471,471,ведущий разработчик c#,Краснодар,,,МТС,2019-10-16T17:40:10+0300,От 1 года до 3 лет,Полный день,Полная занятость,"МТС — одна из первых компаний в России, которая внедряет полномасштабную практику непрерывного производства с упором на автоматизацию. Присоединившись к нам, вы будете участвовать в создании highload-систем, с которыми работает большинство сотрудников в масштабе всей компании по стране и регионам СНГ. Мы всегда открыты для талантливых, энергичных и приверженных своему делу людей и сейчас ищем в свою команду Ведущего разработчика в группу автоматизации тестирования. Присоединившись к нам, в Ваши обязанности будет входить: разработка новых и поддержка существующих автотестов; запуск автотестов, анализ результатов выполнения, регистрация и обработка дефектов; проектирование, разработка и развитие инструментов автоматизированного тестирования; Мы ожидаем, что у Вас есть: опыт разработки на языке программирования C# от 2 лет (дополнительные знания других ЯП является преимуществом); отличное знание SQL (опыт работы с СУБД Oracle является преимуществом); знания по администрированию Windows; опыт работы с инструментами автоматизации тестирования: Selenium, CodedUI или аналогами; знание принципов структурного и объектно-ориентированного программирования, шаблонов проектирования; опыт работы с системами контроля версий и средствами командной разработки (будет плюсом опыт работы с TFS, Visual Studio, PL/SQL Developer). Приветствуется: опыт тестирования Windows Desktop- и WEB-приложений; знание технологий и платформ: .NET Framework, ASP.NET, IIS, WCF, Entity Framework, Win-Services; знания методик и стандартов в области разработки ПО (SCRUM/Agile, CMMI); опыт подготовки процессной документации (регламенты, инструкции); широкий кругозор в области разработки ПО. Мы, в свою очередь, гарантируем: работа в офисе, при необходимости возможно удаленное подключение из дома; возможность гибкого рабочего графика с началом рабочего дня с 8:00 до 11:00; стабильная белая и конкурентная зарплата, премии 2 раза в год по результатам работы; график работы 5/2, в пятницу сокращенный рабочий день; забота о здоровье своих сотрудников - ДМС со стоматологией,страхование жизни, страхование при поездках за рубеж; корпоративные соревнования по футболу, баскетболу и волейболу, различные спорт-программы или компенсация вашего фитнес-абонемента; отпуск 28 календарных дней + 3 календарных дня дополнительно ежегодно; наличие большого количества корпоративных мероприятий: вебинары, митапы, хакатоны и многое другое; возможность вырасти не только в отличного технического специалиста, но и в классного руководителя или менеджера проектов; корпоративная мобильная связь; офис: ул. Тургенева.",,,,С#|SQL|XML
686,686,ведущий разработчик c#,Челябинск,,,ПРОМАТИС,2019-10-21T10:00:44+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания ПРОМАТИС увеличивает объем предоставляемых услуг в области автоматизации промышленных предприятий и производств и , в связи с этим, примет в свою команду увлеченного инженера-программиста/ разработчика. Мы предлагаем интересные задачи, сплоченный коллектив, комфортабельные условия, офис в центре города. Дополнительные бонусы по результатам работ. Обязанности: Разработка систем для промышленных предприятий (MES направление) Проектирование архитектуры; Разбивать проект на задачи, оценивать время на их выполнение и расставлять приоритеты; Наставничество разработчиков; Рецензирование своего и чужого кода. Требования: Отличное знание С#, .Net; Активная жизненная позиция; Знание принципов проектирования и современных подходов к разработке; Глубокое понимание принципов ООП Умение работать с чужим кодом; Будет плюсом: Умение объяснять сложные вещи простыми словами. Условия: полный рабочий день; график работы 5/2; оформление согласно ТК РФ; дружный, сплоченный коллектив; адекватное руководство; интересные задачи; уровень зарплаты: индивидуально, в соответствии с уровнем квалификации;"," Отличное знание С#, .Net; Активная жизненная позиция; Знание принципов проектирования и современных подходов к разработке; Глубокое понимание принципов ООП Умение работать с чужим кодом; Будет плюсом: Умение объяснять сложные вещи простыми словами. "," Разработка систем для промышленных предприятий (MES направление) Проектирование архитектуры; Разбивать проект на задачи, оценивать время на их выполнение и расставлять приоритеты; Наставничество разработчиков; Рецензирование своего и чужого кода. "," полный рабочий день; график работы 5/2; оформление согласно ТК РФ; дружный, сплоченный коллектив; адекватное руководство; интересные задачи; уровень зарплаты: индивидуально, в соответствии с уровнем квалификации;",MES|С#|ASP.NET|ООП
